channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
0,0,0,1.1995824,0.38332803,-0.81625439
0,0,1,1.7475846,0.61885664,-1.128728
0,0,2,2.4272525,0.88967873,-1.5375738
0,0,3,3.2477326,1.6062541,-1.6414785
0,0,4,4.2401473,2.4350374,-1.8051098
0,0,5,5.3771403,3.5996555,-1.7774849
0,0,6,6.6514169,4.7061677,-1.9452492
0,0,7,8.0461051,5.9604542,-2.085651
0,0,8,9.5671549,7.4704261,-2.0967288
0,0,9,11.246973,9.0135587,-2.2334141
0,0,10,13.088284,10.632094,-2.4561896
0,0,11,15.074948,12.419895,-2.6550524
0,0,12,17.194037,14.318418,-2.8756185
0,0,13,19.455364,16.320698,-3.1346655
0,0,14,21.867431,18.709301,-3.1581296
0,0,15,24.377296,21.38837,-2.9889261
0,0,16,26.898804,24.402092,-2.4967117
0,0,17,29.319791,27.519585,-1.8002068
0,0,18,31.541252,30.924558,-0.61669359
0,0,19,33.511572,34.4438,0.93222754
0,0,20,35.204071,37.936156,2.7320848
0,0,21,36.638085,41.144184,4.506099
0,0,22,37.869139,43.729463,5.8603247
0,0,23,38.932136,45.597534,6.6653978
0,0,24,39.851688,46.816381,6.9646934
0,0,25,40.68392,47.494804,6.8108841
0,0,26,41.503168,47.822635,6.3194669
0,0,27,42.3429,47.966773,5.6238724
0,0,28,43.216207,47.99845,4.7822434
0,0,29,44.131496,47.999985,3.8684889
0,0,30,45.023064,48,2.9769361
1,0,0,1.0547278,0,-1.0547278
1,0,1,1.4345687,0.042929719,-1.3916389
1,0,2,1.8948772,0.12093449,-1.7739427
1,0,3,2.4285775,0.27810083,-2.1504767
1,0,4,3.0716528,0.63272386,-2.4389289
1,0,5,3.8249767,1.0762836,-2.7486931
1,0,6,4.7106701,2.0813507,-2.6293194
1,0,7,5.7293291,3.1642724,-2.5650566
1,0,8,6.8933171,4.3212207,-2.5720964
1,0,9,8.2601819,5.6684357,-2.5917462
1,0,10,9.7863779,6.8042953,-2.9820827
1,0,11,11.455296,8.0356642,-3.419632
1,0,12,13.251088,9.5148341,-3.7362542
1,0,13,15.147164,11.106323,-4.0408408
1,0,14,17.084681,12.969122,-4.1155591
1,0,15,18.996367,14.741685,-4.2546821
1,0,16,20.899966,17.118245,-3.7817212
1,0,17,22.836002,19.564672,-3.2713296
1,0,18,24.768693,22.277552,-2.4911411
1,0,19,26.63306,24.561247,-2.0718134
1,0,20,28.427225,27.440258,-0.98696738
1,0,21,30.178549,31.18898,1.0104311
1,0,22,31.851422,34.908304,3.056882
1,0,23,33.384507,38.32561,4.9411037
1,0,24,34.797208,41.196161,6.3989532
1,0,25,36.095255,43.819245,7.7239902
1,0,26,37.235148,45.668378,8.4332306
1,0,27,38.197518,46.840457,8.6429389
1,0,28,39.035024,47.500018,8.4649941
1,0,29,39.806545,47.760094,7.9535486
1,0,30,40.558737,47.851179,7.2924418
2,0,0,0.16719196,0.0033935141,-0.16379845
2,0,1,0.26639415,0.02067915,-0.245715
2,0,2,0.41358756,0.053766617,-0.35982094
2,0,3,0.59377801,0.1268727,-0.46690531
2,0,4,0.83651875,0.19703711,-0.63948164
2,0,5,1.1259004,0.23869902,-0.88720142
2,0,6,1.4682199,0.38945443,-1.0787655
2,0,7,1.8756849,0.60952855,-1.2661564
2,0,8,2.3858802,0.88667746,-1.4992027
2,0,9,3.0443757,1.4536415,-1.5907342
2,0,10,3.841764,2.079659,-1.762105
2,0,11,4.7991444,2.8575287,-1.9416157
2,0,12,5.9174022,3.721243,-2.1961592
2,0,13,7.1956309,4.8916024,-2.3040285
2,0,14,8.6331698,6.3411475,-2.2920223
2,0,15,10.228821,7.6765977,-2.5522235
2,0,16,11.974511,9.0473114,-2.9271993
2,0,17,13.845201,10.85343,-2.9917714
2,0,18,15.803368,12.843694,-2.9596743
2,0,19,17.80514,14.998524,-2.8066156
2,0,20,19.836202,17.207676,-2.6285256
2,0,21,21.90339,19.851488,-2.0519024
2,0,22,24.016874,22.232277,-1.7845968
2,0,23,26.195706,25.564698,-0.63100806
2,0,24,28.418379,28.881188,0.46280965
2,0,25,30.612486,32.597138,1.9846518
2,0,26,32.696867,36.270247,3.5733802
2,0,27,34.623202,39.76418,5.1409778
2,0,28,36.38714,42.708206,6.3210658
2,0,29,37.966394,45.042907,7.0765132
2,0,30,39.367588,46.544015,7.1764266
3,0,0,1.076762,0.10090673,-0.97585528
3,0,1,1.5475694,0.15238771,-1.3951817
3,0,2,2.1239282,0.31573542,-1.8081928
3,0,3,2.8040515,0.54668607,-2.2573655
3,0,4,3.5460514,1.0276788,-2.5183726
3,0,5,4.3127399,1.4861193,-2.8266206
3,0,6,5.1001038,2.6238497,-2.4762541
3,0,7,5.9411753,3.2616262,-2.6795492
3,0,8,6.9141237,3.8419598,-3.0721639
3,0,9,8.0465593,4.933328,-3.1132313
3,0,10,9.4369998,6.1027045,-3.3342953
3,0,11,11.078072,7.4429692,-3.635103
3,0,12,12.931195,8.8149509,-4.1162439
3,0,13,14.904879,10.518414,-4.3864657
3,0,14,16.921216,12.240848,-4.6803672
3,0,15,18.909574,13.931169,-4.978405
3,0,16,20.797566,15.670103,-5.1274626
3,0,17,22.538799,17.723832,-4.8149672
3,0,18,24.127241,20.3334,-3.7938417
3,0,19,25.587434,23.21047,-2.3769642
3,0,20,26.964875,26.743708,-0.22116612
3,0,21,28.287759,30.070178,1.7824194
3,0,22,29.585703,34.006867,4.4211639
3,0,23,30.928655,37.686305,6.7576503
3,0,24,32.332462,41.035866,8.7034039
3,0,25,33.800345,43.65041,9.8500658
3,0,26,35.300729,45.668849,10.36812
3,0,27,36.771218,46.91052,10.139302
3,0,28,38.138588,47.532863,9.3942753
3,0,29,39.363439,47.765375,8.4019353
3,0,30,40.433519,47.877336,7.4438166
4,0,0,0.013639723,0.0042668945,-0.0093728282
4,0,1,0.030933681,0.0030924358,-0.027841245
4,0,2,0.083854056,0.00038316595,-0.08347089
4,0,3,0.17563966,0.0031413289,-0.17249833
4,0,4,0.34509113,0.0026884024,-0.34240273
4,0,5,0.6080253,0.0034132553,-0.60461205
4,0,6,0.96821335,0.0034436569,-0.9647697
4,0,7,1.4362092,0.0062372226,-1.429972
4,0,8,2.0020213,0.094517066,-1.9075042
4,0,9,2.6640663,0.12352148,-2.5405448
4,0,10,3.4217615,0.80304102,-2.6187205
4,0,11,4.2805094,1.272033,-3.0084764
4,0,12,5.2501649,1.7827101,-3.4674548
4,0,13,6.3412178,2.3143488,-4.026869
4,0,14,7.5536333,3.5835223,-3.970111
4,0,15,8.8983237,4.4885727,-4.409751
4,0,16,10.389696,5.7432317,-4.6464648
4,0,17,12.038861,6.8377836,-5.2010775
4,0,18,13.815583,7.4099773,-6.4056054
4,0,19,15.677962,7.5280563,-8.1499052
4,0,20,17.592728,11.224502,-6.3682253
4,0,21,19.539786,12.910497,-6.6292889
4,0,22,21.46125,14.766648,-6.6946023
4,0,23,23.347531,17.1278,-6.2197314
4,0,24,25.101906,19.270815,-5.8310903
4,0,25,26.733768,21.557786,-5.1759822
4,0,26,28.188143,24.105914,-4.0822287
4,0,27,29.449651,27.307627,-2.1420239
4,0,28,30.537748,30.076087,-0.46166099
4,0,29,31.447639,32.85454,1.4069011
4,0,30,32.257562,35.796659,3.539097
5,0,0,0.91570854,0.010572441,-0.9051361
5,0,1,1.4226741,0.046230514,-1.3764436
5,0,2,2.0627767,0.12966017,-1.9331166
5,0,3,2.8260197,0.26176029,-2.5642594
5,0,4,3.7089975,0.52586486,-3.1831326
5,0,5,4.6809345,1.3320885,-3.3488461
5,0,6,5.7417812,2.2038532,-3.537928
5,0,7,6.9083489,3.2016831,-3.7066659
5,0,8,8.1958496,4.4474617,-3.7483879
5,0,9,9.575976,6.1970916,-3.3788844
5,0,10,11.07069,7.5264936,-3.5441966
5,0,11,12.69863,9.2616464,-3.4369832
