channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
0,0,18.398144,single_cross,-3.1581296,6.9646934
1,0,20.494126,single_cross,-4.2546821,8.6429389
2,0,23.576886,single_cross,-2.9917714,7.1764266
3,0,20.110385,single_cross,-5.1274626,10.36812
4,0,28.247068,single_cross,-8.1499052,3.539097
5,0,19.655977,single_cross,-3.8429505,8.7983212
6,0,19.461784,single_cross,-5.7391487,9.7248966
7,0,26.248321,single_cross,-12.690474,9.9844423
8,0,19.392136,single_cross,-5.6622632,11.29237
9,0,18.755115,single_cross,-6.0789071,9.3234015
10,0,18.851528,single_cross,-2.4475249,5.7922232
11,0,18.850957,single_cross,-2.3048166,5.4985782
12,0,19.075905,single_cross,-2.7880746,6.0706852
13,0,24.295345,single_cross,-6.6370006,11.528225
14,0,20.441872,single_cross,-6.5448302,11.358506
15,0,17.423182,single_cross,-3.9185569,8.7705213
16,0,17.262406,single_cross,-2.9197435,7.0626056
17,0,18.496778,single_cross,-3.4852506,7.243644
18,0,18.116339,single_cross,-3.2150402,6.8591171
19,0,20.567415,single_cross,-3.3790512,7.1893641
20,0,20.319353,single_cross,-4.8987689,8.8733302
21,0,20.235673,single_cross,-4.2265943,8.3399568
22,0,20.936065,single_cross,-5.4159908,9.6406037
23,0,20.996846,single_cross,-3.2247451,6.4582524
24,0,18.495454,single_cross,-1.6989948,4.3911468
25,0,20.507434,single_cross,-5.2903739,10.922065
26,0,18.655808,single_cross,-3.1945871,6.9943965
27,0,18.103859,single_cross,-2.6327914,6.2228836
28,0,17.36802,single_cross,-3.1926093,8.8638912
29,0,18.223361,single_cross,-2.45127,5.6258948
30,0,19.842708,single_cross,-4.6477908,8.8836123
31,0,19.048365,single_cross,-3.0757553,7.0080706
32,0,18.870572,single_cross,-4.8482218,6.2314525
33,0,15.664302,single_cross,-1.7109676,3.9485863
34,0,18.800813,single_cross,-2.9783337,6.55728
35,0,19.852416,single_cross,-3.3787989,7.5491135
36,0,23.806978,single_cross,-6.0292437,8.2429061
37,0,20.151425,single_cross,-3.2819681,7.8646758
38,0,17.558242,single_cross,-3.3396349,7.9314295
39,0,19.134788,single_cross,-3.5109573,7.6053359
40,0,17.914472,single_cross,-3.2022735,7.9838355
41,0,19.166667,single_cross,-6.4083529,10.921778
42,0,19.383037,single_cross,-2.5392794,5.4883519
43,0,21.641842,single_cross,-4.2117649,7.6505329
44,0,20.656341,single_cross,-4.5409158,7.5651348
45,0,17.277488,single_cross,-2.5168396,6.3493292
46,0,17.155336,single_cross,-3.5671353,7.5084362
47,0,20.241669,single_cross,-3.0371184,6.6737174
48,0,17.206583,single_cross,-3.7986272,8.9847855
49,0,18.038784,single_cross,-3.5839025,8.502151
50,0,18.152314,single_cross,-3.6975548,8.521779
51,0,20.056615,single_cross,-3.1642936,7.5735526
52,0,23.246486,single_cross,-6.4348259,10.51296
53,0,20.307441,single_cross,-5.1569796,9.8277409
54,0,20.17588,single_cross,-5.5060932,9.5333983
55,0,25.406432,single_cross,-6.7499962,8.2758805
56,0,18.783684,single_cross,-2.9266377,8.248356
57,0,18.858814,single_cross,-1.8575493,5.8375753
58,0,20.082083,single_cross,-4.3757155,9.0975717
59,0,19.452274,single_cross,-3.0945789,7.7254341
60,0,19.422944,single_cross,-4.5940909,9.0431657
61,0,21.502927,single_cross,-6.4074271,10.541491
62,0,20.043656,single_cross,-3.4648241,9.109157
63,0,18.91888,single_cross,-2.8444433,7.568329
64,0,18.840714,single_cross,-3.9886657,7.8908392
65,0,18.269076,single_cross,-2.5081329,5.5304252
66,0,20.796921,single_cross,-4.9399766,9.1535981
67,0,17.273944,single_cross,-4.0035718,8.8388549
68,0,20.048921,single_cross,-2.0559565,4.9271256
69,0,18.702749,single_cross,-3.5592809,7.512024
70,0,19.949242,single_cross,-3.7978758,7.6599942
71,0,21.783524,single_cross,-8.0627702,11.206321
72,0,20.934665,single_cross,-2.342734,6.530056
73,0,21.530331,single_cross,-7.2405074,11.451825
74,0,17.79144,single_cross,-3.1151695,7.4348661
75,0,18.645919,single_cross,-3.0709581,7.2420231
76,0,18.566772,single_cross,-5.4379471,10.907192
77,0,16.886188,single_cross,-2.5309847,4.5270107
78,0,22.816001,single_cross,-4.4282895,7.6260196
79,0,18.956853,single_cross,-1.8838421,6.0505453
80,0,18.885001,single_cross,-2.765888,6.757683
81,0,16.118649,single_cross,-2.5545852,6.1595049
82,0,19.449198,single_cross,-1.8865953,4.8953639
83,0,18.612382,single_cross,-4.7536877,9.88704
84,0,20.381238,single_cross,-3.3999418,6.4039066
85,0,20.767907,single_cross,-3.0332127,7.5751806
86,0,22.353445,single_cross,-4.8011595,8.2545558
87,0,17.350022,single_cross,-1.9709186,5.353217
88,0,23.137655,single_cross,-6.7247327,9.1377336
89,0,18.047337,single_cross,-2.5864437,5.1937511
90,0,16.859571,single_cross,-3.4252209,6.7426552
91,0,19.419446,single_cross,-5.7450674,9.9764359
92,0,18.856286,single_cross,-3.5042361,8.0595989
93,0,19.116372,single_cross,-4.2561825,8.2881452
94,0,20.521471,single_cross,-4.5698066,8.8898353
95,0,20.083189,single_cross,-4.6775591,9.4433814
96,0,21.475751,single_cross,-6.5071377,9.4090608
97,0,17.773875,single_cross,-3.6310114,8.4681722
98,0,18.715175,single_cross,-4.6736194,9.9806917
99,0,17.585289,single_cross,-2.0489809,5.2658716
100,0,26.368342,single_cross,-8.7911167,7.8363676
101,0,17.413908,single_cross,-2.3575951,6.4045966
102,0,20.212835,single_cross,-3.7336738,9.1347389
103,0,18.072576,single_cross,-3.0299275,7.0030237
104,0,22.022382,single_cross,-4.6577215,8.4419477
105,0,18.690027,single_cross,-4.052601,10.3908
106,0,24.072777,single_cross,-5.9094493,9.5396677
107,0,20.460699,single_cross,-4.7245551,8.0789443
108,0,19.21269,single_cross,-3.3987595,7.2382393
109,0,21.617613,single_cross,-6.9398391,11.400915
110,0,18.183776,single_cross,-2.3980173,5.1185182
111,0,18.204753,single_cross,-2.7285597,6.5153634
112,0,19.143847,single_cross,-1.6630012,4.5685016
113,0,18.416539,single_cross,-3.1196442,7.2830104
114,0,17.254089,single_cross,-4.9692779,7.9913153
115,0,19.757522,single_cross,-3.8452165,8.1042964
116,0,21.287219,single_cross,-4.0990746,8.9834357
117,0,20.883808,single_cross,-5.4359507,9.0376299
118,0,17.33351,single_cross,-3.4878233,7.105866
119,0,21.226842,single_cross,-5.2640107,9.9778584
120,0,19.148031,single_cross,-2.1943048,5.0425904
121,0,17.960983,single_cross,-3.8670207,8.5153429
122,0,21.234465,single_cross,-5.1651784,9.7537546
123,0,20.910786,single_cross,-3.9015546,7.5641077
124,0,20.980225,single_cross,-5.9130994,10.177639
125,0,17.880931,single_cross,-4.5868899,8.8358004
126,0,24.366381,single_cross,-6.7568321,9.3038061
127,0,20.850722,single_cross,-8.4225831,9.9376762
128,0,20.254182,single_cross,-5.4468851,9.465875
129,0,21.471921,single_cross,-5.6225616,9.9580288
130,0,21.435411,single_cross,-5.8185448,10.633716
131,0,18.572986,single_cross,-4.3260957,8.4706726
132,0,21.21779,single_cross,-4.4237665,7.6396166
133,0,21.515427,single_cross,-3.1971321,7.1311688
134,0,19.554525,single_cross,-3.7715769,8.005359
135,0,17.793216,single_cross,-2.2279284,5.6759823
136,0,22.535001,single_cross,-7.1824707,10.183792
137,0,20.308125,single_cross,-4.6060843,9.4925386
138,0,19.37094,single_cross,-3.9093886,7.9326788
139,0,21.147761,single_cross,-4.5923131,8.2880658
140,0,18.042387,single_cross,-3.9135809,8.4117549
141,0,21.054768,single_cross,-5.6288201,8.0634878
142,0,20.034188,single_cross,-3.9843244,8.8741977
143,0,18.388616,single_cross,-3.4500533,6.7733181
144,0,17.409234,single_cross,-2.3784137,6.0844014
145,0,20.860223,single_cross,-4.1824278,8.1956837
146,0,19.673223,single_cross,-2.2965999,6.2459864
147,0,19.333612,single_cross,-3.7000577,7.9137132
148,0,19.424581,single_cross,-3.6417195,7.3489656
149,0,21.010442,single_cross,-3.8791606,6.5317534
150,0,21.647385,single_cross,-5.8413953,9.9627637
151,0,18.39471,single_cross,-3.4255239,5.8695991
152,0,18.254804,single_cross,-3.5027269,6.9671858
153,0,20.569225,single_cross,-4.9365872,9.1419078
154,0,17.831847,single_cross,-4.015969,8.6457154
155,0,20.249936,single_cross,-2.2164757,4.0975233
156,0,21.739672,single_cross,-4.1823318,8.2263946
157,0,23.966303,single_cross,-6.3902713,8.8124407
158,0,18.75395,single_cross,-4.1068282,8.6626026
159,0,20.118748,single_cross,-2.9292036,6.7887434
160,0,18.18096,single_cross,-2.8996877,7.3744442
161,0,20.625187,single_cross,-3.2512069,6.3632617
162,0,23.669332,single_cross,-5.478047,10.050658
163,0,23.038204,single_cross,-4.7616645,7.5051174
164,0,21.958853,single_cross,-2.8998909,6.2662828
165,0,18.816259,single_cross,-4.0909314,8.534938
166,0,21.769274,single_cross,-3.2480683,7.0469908
167,0,17.72724,single_cross,-3.0424886,7.4461003
168,0,18.912572,single_cross,-4.1365538,7.7110843
169,0,19.439423,single_cross,-3.8961384,7.6888481
170,0,18.599804,single_cross,-4.3879464,8.8100924
171,0,17.971388,single_cross,-3.8168958,7.8523228
172,0,18.266748,single_cross,-3.4127748,7.1812802
173,0,18.793605,single_cross,-4.9085526,7.8835568
174,0,21.184818,single_cross,-5.51151,10.549557
175,0,17.127939,single_cross,-3.191015,6.969879
176,0,21.469737,single_cross,-3.3274267,7.4269914
177,0,20.922192,single_cross,-3.5740659,7.7135628
178,0,19.404099,single_cross,-5.2845908,9.8567726
179,0,16.829231,single_cross,-3.102286,7.2640254
180,0,19.803555,single_cross,-2.1243804,5.4350546
181,0,21.212977,single_cross,-7.4174128,10.352419
182,0,20.486001,single_cross,-5.407377,11.111373
183,0,18.317037,single_cross,-4.1385733,9.7116128
184,0,16.616353,single_cross,-2.4743583,5.4449888
185,0,17.679368,single_cross,-2.5417628,6.0865543
186,0,19.278306,single_cross,-3.8042996,7.5428668
187,0,18.2122,single_cross,-4.0426698,8.2011347
188,0,23.219061,single_cross,-4.2293483,8.8154549
189,0,18.091749,single_cross,-3.0754439,7.6927751
190,0,16.616263,single_cross,-1.9129883,5.4542437
191,0,20.629823,single_cross,-3.8192423,7.9282614
192,0,21.242199,single_cross,-3.7311266,7.229382
193,0,21.239573,single_cross,-4.1666195,7.3265799
194,0,22.730131,single_cross,-9.9027025,10.991807
195,0,22.290632,single_cross,-6.5106967,8.6270497
196,0,20.02643,single_cross,-9.1426715,11.651589
197,0,19.042225,single_cross,-2.745966,6.3688707
198,0,19.314819,single_cross,-3.6195735,8.3883883
199,0,25.40545,single_cross,-5.861595,9.6717875
200,0,21.734543,single_cross,-3.6821747,7.3946662
201,0,18.887674,single_cross,-2.1502368,4.9903688
202,0,21.981662,single_cross,-4.8909337,9.1294823
203,0,18.416958,single_cross,-3.3924859,8.1083458
204,0,21.553484,single_cross,-4.9549977,8.6058061
205,0,17.760371,single_cross,-3.5770936,7.1107847
206,0,16.548983,single_cross,-2.8750127,6.4784932
207,0,18.017081,single_cross,-2.9428729,6.0872872
208,0,16.555545,single_cross,-2.319635,5.0761797
209,0,18.448288,single_cross,-3.3231737,7.6985992
210,0,18.093455,single_cross,-2.2647162,5.4773735
211,0,20.291789,single_cross,-3.3220529,6.3080884
212,0,19.121405,single_cross,-2.9559047,6.6737934
213,0,19.107888,single_cross,-7.9149973,13.551596
