channel_index,snr_db,svd_rate,ucd_rate,delta_rate
0,0,1.702667,0.29040431,-1.4122627
0,2,2.9898868,1.137424,-1.8524628
0,4,4.8398508,2.6578108,-2.18204
0,6,7.4225422,5.1815417,-2.2410005
0,8,10.527082,8.3384868,-2.1885954
0,10,14.091668,11.867863,-2.2238045
1,0,0.012132984,0.025972454,0.01383947
1,2,0.2661928,0.10643624,-0.15975656
1,4,1.1147402,0.60661185,-0.50812832
1,6,2.5182529,1.6934725,-0.82478043
1,8,4.6944221,3.4115964,-1.2828257
1,10,7.3535113,6.0247478,-1.3287636
2,0,0.0077051815,0.0082922668,0.00058708537
2,2,0.31599416,0.0031814621,-0.3128127
2,4,0.81025707,0.062139985,-0.74811708
2,6,1.4819756,0.11539861,-1.3665769
2,8,2.3383157,0.38346107,-1.9548547
2,10,3.8166612,1.774637,-2.0420243
3,0,0.64587719,0.13094507,-0.51493211
3,2,1.1251579,0.36437302,-0.7607849
3,4,1.7825893,0.82660729,-0.95598203
3,6,2.8531871,1.6700146,-1.1831726
3,8,4.453258,3.2424392,-1.2108188
3,10,6.7917096,5.5097556,-1.281954
4,0,0.082023275,0,-0.082023275
4,2,0.22653841,0,-0.22653841
4,4,0.43125492,0.0090063235,-0.4222486
4,6,0.8798835,0.093475434,-0.78640807
4,8,1.4874098,0.39395461,-1.0934552
4,10,2.3298433,1.5256912,-0.80415209
5,0,0.0016700472,0.0060334016,0.0043633544
5,2,0.037932508,0.02687479,-0.011057718
5,4,0.3557185,0.15305966,-0.20265883
5,6,0.97028576,0.32656388,-0.64372188
5,8,1.9330463,0.73128966,-1.2017567
5,10,3.4289981,1.6589161,-1.770082
6,0,1.8678299,0.16568109,-1.7021488
6,2,3.0451567,0.52524313,-2.5199136
6,4,4.6163186,1.0658483,-3.5504703
6,6,6.4365705,3.2101454,-3.2264251
6,8,8.5438936,4.55564,-3.9882536
6,10,11.543506,5.0403843,-6.5031221
7,0,0.019836085,0,-0.019836085
7,2,0.12923737,0.012641877,-0.11659549
7,4,0.46450805,0.10059842,-0.36390963
7,6,1.1711193,0.4789401,-0.69217917
7,8,2.2462762,1.2850745,-0.96120177
7,10,3.6587129,2.8113624,-0.8473505
8,0,0.98984528,0,-0.98984528
8,2,1.8165316,0.083012061,-1.7335195
8,4,2.9820872,1.2746463,-1.7074408
8,6,4.7842872,2.629402,-2.1548852
8,8,7.2675044,4.6110344,-2.6564701
8,10,10.283766,6.679103,-3.6046632
9,0,0.0046127599,0.014194179,0.0095814195
9,2,0,0.018347183,0.018347183
9,4,0.11522666,0.099208294,-0.016018362
9,6,0.62803832,0.47190836,-0.15612996
9,8,1.7327183,1.2503679,-0.48235044
9,10,3.4774041,2.810986,-0.6664181
10,0,0.92836528,0.30643954,-0.62192574
10,2,1.9550157,0.9799615,-0.97505416
10,4,3.6421467,2.2006281,-1.4415186
10,6,5.7291072,4.2642237,-1.4648835
10,8,8.0155625,6.9216633,-1.0938992
10,10,11.063671,10.28182,-0.78185104
11,0,0.080587395,0.0085600015,-0.072027394
11,2,0.16564894,0.062973666,-0.10267527
11,4,0.57086956,0.51009265,-0.060776911
11,6,1.6384124,1.4071597,-0.23125267
11,8,3.3398602,2.8460908,-0.49376939
11,10,6.056205,5.2449758,-0.8112292
