channel_index,threshold_db,crossing_type,delta_min,delta_max
0,12,always_svd,-2.2410005,-1.4122627
1,0.15944455,reverse_cross,-1.3287636,0.01383947
2,0.0037465588,reverse_cross,-2.0420243,0.00058708537
3,12,always_svd,-1.281954,-0.51493211
4,12,always_svd,-1.0934552,-0.082023275
5,0.56589508,reverse_cross,-1.770082,0.0043633544
6,12,always_svd,-6.5031221,-1.7021488
7,12,always_svd,-0.96120177,-0.019836085
8,12,always_svd,-3.6046632,-0.98984528
9,3.0677662,reverse_cross,-0.6664181,0.018347183
10,12,always_svd,-1.4648835,-0.62192574
11,12,always_svd,-0.8112292,-0.060776911
