channel_index,snr_db,svd_rate,ucd_rate,delta_rate
0,0,1.9365803,1.6029996,-0.33358074
0,2,3.5723614,3.2061355,-0.36622584
0,4,5.0032166,5.1873256,0.18410905
0,6,6.5739736,7.3286253,0.75465174
1,0,1.2999331,0.53648761,-0.76344553
1,2,2.2998016,1.2857734,-1.0140282
1,4,3.5919863,2.7833765,-0.80860977
1,6,5.0562165,5.3276111,0.27139453
2,0,0,0,0
2,2,0.050955835,0,-0.050955835
2,4,0.19448515,0,-0.19448515
2,6,0.5877867,0.11199433,-0.47579237
3,0,3.199173,2.4124484,-0.78672467
3,2,4.9613535,4.4567213,-0.50463225
3,4,6.9445756,6.935314,-0.0092616569
3,6,9.2981352,9.556691,0.25855582
4,0,0.32484394,0.021165355,-0.30367858
4,2,0.61092525,0.099228764,-0.51169648
4,4,1.1053759,0.50685734,-0.59851855
4,6,2.0302905,1.3133928,-0.71689769
5,0,1.121829,0.31650641,-0.80532256
5,2,2.1053118,1.1669794,-0.93833244
5,4,3.5477262,2.8442373,-0.70348885
5,6,5.6990538,5.2511623,-0.44789154
6,0,0.63392908,0.75731705,0.12338797
6,2,1.404477,1.8401717,0.43569471
6,4,2.9515788,3.4915798,0.54000098
6,6,5.4716782,5.6115163,0.13983814
7,0,0.37303306,0.043680473,-0.32935258
7,2,0.80292028,0.14483694,-0.65808335
7,4,1.6733357,0.31773035,-1.3556053
7,6,3.3673628,1.0568972,-2.3104657
8,0,1.3477929,0.5571469,-0.790646
8,2,2.2947185,1.4422029,-0.85251559
8,4,3.4299339,2.9726757,-0.45725816
8,6,4.7787806,5.206146,0.42736535
9,0,1.3421644,0.59560397,-0.74656041
9,2,2.4657129,1.2390757,-1.2266372
9,4,3.9907758,1.8681136,-2.1226623
9,6,6.1067512,2.9479815,-3.1587697
