channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
0,0,0,0.16418085,0.24644995,0.0822691
0,0,2,0.75419311,0.74911872,-0.0050743952
0,0,4,1.8830483,1.4534274,-0.42962094
1,0,0,1.6704314,0.48160784,-1.1888236
1,0,2,2.0382452,1.0315821,-1.0066631
1,0,4,2.6436406,1.5641265,-1.0795141
2,1,0,0.25753058,0.020327156,-0.23720342
2,1,2,0.73002964,0.18947232,-0.54055731
2,1,4,1.6035437,0.66262761,-0.94091606
3,1,0,1.1266814,0.25864031,-0.86804108
3,1,2,2.5120262,0.27253203,-2.2394941
3,1,4,4.1554599,0.84642775,-3.3090321
4,2,0,0.38457998,0.12051242,-0.26406756
4,2,2,0.99069331,0.56105461,-0.42963869
4,2,4,2.0545979,1.5022818,-0.5523161
5,2,0,0.10643954,0.033769702,-0.07266984
5,2,2,0.56955992,0.50696675,-0.062593169
5,2,4,1.5728079,1.4604736,-0.11233428
