channel_index,snr_db,svd_rate,ucd_rate,delta_rate
0,0,1.6333752,0.22818763,-1.4051875
0,5,6.3415761,4.3188935,-2.0226826
0,10,14.161507,11.42872,-2.7327864
0,15,25.273751,23.104332,-2.1694185
0,20,35.257475,39.420082,4.1626071
0,25,40.062419,47.132617,7.0701986
0,30,45.597145,48,2.4028549
1,0,0.44100209,0,-0.44100209
1,5,3.6827467,1.2338223,-2.4489244
1,10,10.795309,7.4497515,-3.3455573
1,15,21.194601,16.239911,-4.9546906
1,20,32.135502,32.953947,0.81844441
1,25,38.821499,46.5218,7.7003003
1,30,43.036886,47.999996,4.96311
2,0,0.18637588,0.00043193075,-0.18594395
2,5,1.8169918,0,-1.8169918
2,10,4.9216809,0.70415668,-4.2175242
2,15,11.095861,5.9415013,-5.1543601
2,20,19.047142,10.860716,-8.1864257
2,25,25.660498,27.0601,1.3996029
2,30,33.466429,43.957304,10.490874
3,0,1.2672484,0.32888983,-0.93835853
3,5,5.1071937,2.9867684,-2.1204252
3,10,12.309135,9.4384741,-2.8706606
3,15,23.347702,18.883786,-4.4639151
3,20,33.162048,34.663463,1.5014155
3,25,38.67053,47.214242,8.5437115
3,30,41.768926,47.99999,6.2310642
4,0,1.029291,0.13165591,-0.89763514
4,5,3.8753414,0.31137395,-3.5639674
4,10,9.6730997,2.9557592,-6.7173406
4,15,18.401947,8.7924934,-9.6094535
4,20,25.873182,22.630093,-3.2430887
4,25,31.16426,37.42288,6.25862
4,30,36.801396,47.826701,11.025305
5,0,1.3675277,0.57348687,-0.79404084
5,5,4.9501384,3.0924442,-1.8576942
5,10,12.743165,9.3555776,-3.3875874
5,15,22.529984,19.86616,-2.6638243
5,20,32.922125,35.102359,2.1802337
5,25,39.008097,47.117206,8.1091091
5,30,42.59501,48,5.4049903
6,0,0.80189744,0,-0.80189744
6,5,2.6757676,0.67196805,-2.0037995
6,10,6.7830558,4.0050637,-2.7779922
6,15,14.955041,11.733295,-3.2217463
6,20,24.369802,23.988912,-0.38089029
6,25,34.354635,41.433239,7.0786032
6,30,41.963638,47.668042,5.7044045
7,0,0.36116284,0.036510706,-0.32465214
7,5,2.4679496,0.58626797,-1.8816816
7,10,6.9539772,3.0910654,-3.8629119
7,15,15.464681,10.299624,-5.1650566
7,20,24.869459,20.891954,-3.9775054
7,25,33.634195,38.719186,5.0849903
7,30,39.425708,47.596097,8.1703889
8,0,0.69712529,0.085215378,-0.61190991
8,5,3.0043163,0.36955904,-2.6347572
8,10,8.3742873,2.6957577,-5.6785296
8,15,16.484951,11.164478,-5.3204729
8,20,26.590502,17.526065,-9.064437
8,25,34.279263,35.282421,1.0031575
8,30,35.892871,46.119598,10.226727
9,0,1.273427,0.28301824,-0.99040878
9,5,4.1651511,1.9698813,-2.1952699
9,10,10.39123,6.576969,-3.8142606
9,15,19.090666,15.618205,-3.4724609
9,20,29.349012,28.784017,-0.56499533
9,25,37.084314,44.302071,7.2177565
9,30,40.426565,47.996529,7.5699648
10,0,0.87856964,0.051481247,-0.8270884
10,5,4.2949165,2.4166891,-1.8782274
10,10,11.351624,7.9507755,-3.4008481
10,15,21.876521,17.731247,-4.1452738
10,20,31.654426,34.108276,2.4538506
10,25,40.163124,46.133462,5.9703383
10,30,44.929924,47.999894,3.0699692
11,0,1.7337022,0.42533974,-1.3083625
11,5,4.5358232,2.9608918,-1.5749314
11,10,11.479149,8.851727,-2.6274219
11,15,20.566281,18.317661,-2.2486208
11,20,30.671561,34.454895,3.7833343
11,25,38.46747,46.864257,8.3967874
11,30,44.418218,47.999977,3.581758
12,0,0.46325187,0.0073913763,-0.45586049
12,5,1.898666,0.56382736,-1.3348386
12,10,4.6117077,3.178241,-1.4334667
12,15,11.126497,8.2555497,-2.8709471
12,20,20.753102,17.757108,-2.9959937
12,25,31.038341,34.394991,3.3566498
12,30,38.997299,46.684868,7.6875687
13,0,1.8456251,0.74322219,-1.1024029
13,5,5.7761774,4.1861417,-1.5900357
13,10,13.311458,10.764102,-2.5473557
13,15,23.060531,21.554912,-1.5056192
13,20,34.329053,39.32026,4.9912063
13,25,41.201933,47.747557,6.5456242
13,30,46.323933,48,1.676067
14,0,0.89357606,0,-0.89357606
14,5,3.13701,0.5825042,-2.5545058
14,10,8.2187169,3.7012463,-4.5174706
14,15,17.577787,8.3623399,-9.2154476
14,20,24.765134,17.771966,-6.9931673
14,25,32.400662,36.484457,4.0837951
14,30,36.316299,47.031822,10.715524
15,0,0.50546393,0,-0.50546393
15,5,3.5671709,0.67488886,-2.892282
15,10,9.5261614,6.6255722,-2.9005892
15,15,19.662899,15.683914,-3.9789849
15,20,30.966762,30.08191,-0.88485122
15,25,38.481969,45.68099,7.1990219
15,30,43.774908,47.999986,4.2250775
16,0,1.2087119,0.1042132,-1.1044987
16,5,5.1179027,2.8794689,-2.2384338
16,10,12.443877,9.3875677,-3.0563094
16,15,23.397675,20.063716,-3.3339585
16,20,33.850301,37.677719,3.8274184
16,25,40.179827,47.806655,7.6268282
16,30,45.725245,48,2.2747551
17,0,1.0952797,0,-1.0952797
17,5,3.4102063,1.0587875,-2.3514189
17,10,9.767881,6.1890778,-3.5788032
17,15,19.432201,15.984761,-3.4474405
17,20,29.695325,29.951303,0.25597797
17,25,37.868968,45.345682,7.4767134
17,30,42.850266,47.999937,5.1496709
18,0,0.66509245,0.017249387,-0.64784307
18,5,2.2133945,0.013673838,-2.1997207
18,10,5.8397135,2.0494264,-3.790287
18,15,12.575825,9.2266164,-3.3492083
18,20,20.539189,17.684141,-2.8550482
18,25,28.983327,33.248539,4.2652114
18,30,37.474399,46.95631,9.481911
19,0,1.5252603,0.016940001,-1.5083203
19,5,5.1142237,3.3255493,-1.7886744
19,10,12.194038,8.5197965,-3.6742414
19,15,21.025053,18.395281,-2.6297722
19,20,30.983017,34.446345,3.4633277
19,25,38.659141,46.65581,7.9966697
19,30,43.679546,47.999999,4.3204531
20,0,1.2284172,0.13252073,-1.0958965
20,5,3.7452001,0.96414075,-2.7810594
20,10,9.1214831,5.5586499,-3.5628333
20,15,19.172523,15.392872,-3.7796505
20,20,28.521449,30.126432,1.6049827
