channel_index,threshold_db,crossing_type,delta_min,delta_max
0,19.182957,single_cross,-3.7522932,8.1273184
1,20.708322,single_cross,-2.7952783,5.6871217
2,21.204218,single_cross,-4.360248,9.2087064
3,18.349635,single_cross,-5.3780054,9.5386328
4,18.959972,single_cross,-4.7688766,8.6187183
5,18.88401,single_cross,-2.2399725,6.6612691
6,20.720373,single_cross,-6.5010482,10.173436
7,18.805904,single_cross,-3.5526572,7.4846335
8,19.091687,single_cross,-2.5952172,6.7878371
9,19.016121,single_cross,-2.4763241,5.9928519
10,18.529745,single_cross,-4.3066162,8.4850913
11,19.247606,single_cross,-3.2902884,6.7785812
12,19.954028,single_cross,-3.3167727,8.5654143
13,23.021059,single_cross,-5.674619,9.8663791
14,18.680783,single_cross,-3.4830864,8.4622533
15,18.22604,single_cross,-1.6665169,4.9858639
16,17.006935,single_cross,-2.2501958,5.845822
17,17.276082,single_cross,-4.6356911,9.9916096
18,17.871832,single_cross,-2.1501431,4.8748222
19,17.038984,single_cross,-2.1041297,4.4530716
20,20.437549,single_cross,-3.3444586,8.1231784
21,20.470921,single_cross,-3.9376539,8.5303642
22,19.933636,single_cross,-4.3994197,8.3431293
23,16.35007,single_cross,-2.6457583,7.5305166
24,19.92344,single_cross,-4.3646464,8.2838722
25,19.691359,single_cross,-5.6851571,8.9837695
26,22.600687,single_cross,-4.8197115,8.7793358
27,18.257621,single_cross,-3.7586365,7.5625588
28,17.556198,single_cross,-4.0323143,8.4088753
29,17.601732,single_cross,-4.7056525,8.9100283
30,18.93807,single_cross,-4.1475315,7.9890531
31,18.179978,single_cross,-6.3019014,9.7778982
32,20.621114,single_cross,-2.9835859,7.2576702
33,19.8961,single_cross,-3.3431526,5.796814
34,17.585554,single_cross,-2.5526554,4.9465258
35,19.830329,single_cross,-4.8840887,9.3417205
36,19.188656,single_cross,-3.1796376,7.1904434
37,17.395599,single_cross,-2.6047827,7.4752502
38,19.779566,single_cross,-6.3586191,8.6743518
39,19.641749,single_cross,-8.1429868,10.251135
40,19.855104,single_cross,-1.8453718,5.9607065
41,20.410345,single_cross,-6.0700867,10.799297
42,19.563321,single_cross,-3.6432654,8.4380164
43,18.16966,single_cross,-3.5137287,7.4042308
44,16.642979,single_cross,-2.7350241,7.0866992
45,19.422008,single_cross,-5.8441251,9.3942895
46,22.167303,single_cross,-2.9683399,7.9502362
47,19.738026,single_cross,-2.5296797,5.9431303
48,17.333563,single_cross,-2.8127019,7.3941725
49,20.514968,single_cross,-5.9726723,9.7499055
50,18.684158,single_cross,-6.8923423,9.18768
51,23.333849,single_cross,-7.7049764,9.8512392
52,25.599539,single_cross,-9.6239801,8.8885304
53,21.150918,single_cross,-7.2522997,11.313894
54,19.836853,single_cross,-4.5925296,8.1139659
55,20.857213,single_cross,-7.6165081,8.4491034
56,19.452802,single_cross,-2.9664985,7.2389543
57,19.669476,single_cross,-3.3819903,6.9767627
58,21.366735,single_cross,-3.155969,6.7917261
59,17.255212,single_cross,-3.3007067,8.6200096
60,20.898819,single_cross,-4.6913536,8.8752992
61,17.266992,single_cross,-2.3512566,5.8112498
62,18.471706,single_cross,-4.1756292,8.6389273
63,19.005162,single_cross,-3.1954018,8.1024739
64,19.043933,single_cross,-3.2276814,7.2073497
65,22.511114,single_cross,-7.0008368,9.1482451
66,18.957123,single_cross,-1.7771864,4.0248287
67,18.184516,single_cross,-5.0560006,10.280979
68,19.265938,single_cross,-4.8181681,9.4712772
69,17.625031,single_cross,-2.9735239,7.1471644
70,18.644854,single_cross,-3.4170715,6.6538215
71,16.737777,single_cross,-4.3654979,8.6968865
72,20.542035,single_cross,-4.2893993,8.3817609
73,20.049453,single_cross,-3.4417397,7.6513592
74,22.33985,single_cross,-5.3678347,9.0858024
75,20.705076,single_cross,-5.8168311,9.3485524
76,20.575098,single_cross,-4.0101361,8.1057723
77,18.135197,single_cross,-3.3302526,7.537338
78,19.144369,single_cross,-3.0931237,6.6810742
79,18.301544,single_cross,-2.8293632,6.6888032
80,17.579302,single_cross,-3.8202751,7.8351051
81,19.954422,single_cross,-4.5115931,8.7451094
82,23.026099,single_cross,-9.8084147,10.787237
83,18.365277,single_cross,-4.4140567,8.2342063
84,18.544312,single_cross,-4.4228676,8.2112871
85,21.003719,single_cross,-3.2545284,7.3538518
86,19.537494,single_cross,-5.7245505,9.9310326
87,18.983454,single_cross,-5.2428243,9.5341657
88,21.279079,single_cross,-3.8874021,8.1348659
89,17.357494,single_cross,-3.5240994,7.1591417
90,18.899987,single_cross,-4.1675314,7.9351818
91,16.206311,single_cross,-2.3554167,6.2842798
92,20.538062,single_cross,-5.1825773,8.6059333
93,22.606088,single_cross,-7.9483259,10.760589
94,22.491256,single_cross,-5.028029,8.7582745
95,21.339968,single_cross,-3.7527999,7.1688231
96,18.679462,single_cross,-1.4607246,4.346414
97,18.364516,single_cross,-2.6362728,8.6833357
98,18.41668,single_cross,-2.0858103,6.7566208
99,16.714387,single_cross,-2.2913853,5.259785
