channel_index,snr_db,svd_rate,ucd_rate,delta_rate
0,0,1.1846624,0.16582475,-1.0188376
0,1,1.6243549,0.23303121,-1.3913236
0,2,2.1443593,0.36774458,-1.7766147
0,3,2.7440803,0.68276415,-2.0613162
0,4,3.4350897,1.1933316,-2.2417582
0,5,4.2482993,1.9994692,-2.2488301
0,6,5.1707965,2.7444284,-2.426368
0,7,6.2256375,3.4162125,-2.809425
0,8,7.4132156,5.1357593,-2.2774562
0,9,8.7585643,6.3783323,-2.380232
0,10,10.283864,7.696302,-2.5875618
0,11,11.983902,9.1242666,-2.8596357
0,12,13.829143,10.634849,-3.194294
0,13,15.785224,12.39452,-3.3907045
0,14,17.785322,14.033028,-3.7522932
0,15,19.795928,16.078834,-3.7170933
0,16,21.773422,18.232448,-3.5409737
0,17,23.668681,20.998599,-2.6700817
0,18,25.513829,23.906598,-1.6072309
0,19,27.341784,27.035005,-0.30677924
0,20,29.176342,30.546346,1.3700036
0,21,30.980698,34.143824,3.1631255
0,22,32.716171,37.693938,4.9777673
0,23,34.380893,40.916258,6.5353652
0,24,35.927053,43.545538,7.6184852
0,25,37.343484,45.470802,8.1273184
0,26,38.621387,46.735507,8.1141204
0,27,39.731537,47.420511,7.6889732
0,28,40.701444,47.745406,7.0439618
0,29,41.602093,47.870224,6.2681308
0,30,42.519731,47.936669,5.4169386
0,31,43.476521,47.991203,4.5146815
0,32,44.417445,47.999916,3.5824717
0,33,45.300031,48,2.6999692
0,34,46.098465,48,1.9015354
0,35,46.763863,48,1.2361367
0,36,47.257729,48,0.74227139
0,37,47.59556,48,0.40444044
0,38,47.822431,48,0.17756921
0,39,47.953923,48,0.046077306
0,40,47.995488,48,0.0045119053
1,0,0.33993732,0.05309987,-0.28683745
1,1,0.53532066,0.105555,-0.42976566
1,2,0.81832251,0.18935885,-0.62896366
1,3,1.1444046,0.33958365,-0.80482093
1,4,1.5488638,0.57852959,-0.97033417
1,5,2.0348638,0.95401206,-1.0808518
1,6,2.6422626,1.4511282,-1.1911344
1,7,3.4121475,2.1206512,-1.2914964
1,8,4.3491342,2.9157741,-1.4333601
1,9,5.4454955,3.9263189,-1.5191766
1,10,6.7024453,5.1871019,-1.5153433
1,11,8.1233913,6.5572053,-1.5661861
1,12,9.7190655,8.1984774,-1.520588
1,13,11.51293,9.920407,-1.5925233
1,14,13.534511,11.744905,-1.7896055
1,15,15.782921,13.285006,-2.4979142
1,16,18.182905,15.418169,-2.7647353
1,17,20.650803,17.855525,-2.7952783
1,18,23.159923,20.535205,-2.6247174
1,19,25.696931,23.746503,-1.9504285
1,20,28.202694,27.247863,-0.95483108
1,21,30.634006,31.027192,0.39318665
1,22,33.01694,35.050012,2.0330721
1,23,35.322965,38.811165,3.4881999
1,24,37.415869,42.10569,4.6898211
1,25,39.22628,44.704164,5.4778834
1,26,40.787539,46.47466,5.6871217
1,27,42.151027,47.440873,5.2898456
1,28,43.356966,47.829441,4.4724744
1,29,44.42541,47.96211,3.5367004
1,30,45.388257,47.995844,2.6075867
1,31,46.238663,47.999898,1.7612354
1,32,46.933191,47.999999,1.0668082
1,33,47.440947,48,0.55905347
1,34,47.760268,48,0.23973178
1,35,47.919577,48,0.080422689
1,36,47.982039,48,0.017960829
1,37,47.998425,48,0.001574893
1,38,47.999954,48,4.634789e-05
1,39,48,48,3.9346757e-07
1,40,48,48,6.802594e-10
2,0,1.058992,0.025508867,-1.0334831
2,1,1.4162553,0.050903857,-1.3653515
2,2,1.8489672,0.14489548,-1.7040717
2,3,2.3301471,0.31687857,-2.0132685
2,4,2.8509723,0.57416617,-2.2768061
2,5,3.4431484,0.86256219,-2.5805862
2,6,4.1309836,1.1525153,-2.9784683
2,7,4.9138707,1.5238539,-3.3900168
2,8,5.8014547,2.1730518,-3.6284029
2,9,6.837468,3.2656485,-3.5718195
2,10,8.0081269,3.9673997,-4.0407272
2,11,9.2685408,5.3231379,-3.9454029
2,12,10.63178,6.8982783,-3.7335012
2,13,12.130135,7.9884481,-4.1416873
2,14,13.715856,9.5272801,-4.1885759
2,15,15.326814,10.966566,-4.360248
2,16,16.957628,12.850113,-4.1075154
2,17,18.663329,14.844905,-3.8184241
2,18,20.452203,17.34354,-3.1086635
2,19,22.207548,19.832932,-2.3746157
2,20,23.886365,22.22983,-1.6565349
2,21,25.54658,25.229393,-0.31718707
2,22,27.17511,28.411104,1.2359941
2,23,28.753956,31.80032,3.0463641
2,24,30.298928,35.41761,5.1186816
2,25,31.826709,38.676974,6.8502655
2,26,33.345583,41.476489,8.130906
2,27,34.866493,43.830326,8.9638329
2,28,36.374548,45.583254,9.2087064
2,29,37.86405,46.816875,8.9528252
2,30,39.322937,47.594617,8.2716801
2,31,40.714447,47.920061,7.2056141
2,32,41.987895,47.993004,6.0051083
2,33,43.134009,47.999775,4.8657659
2,34,44.192388,47.999998,3.8076094
2,35,45.176567,48,2.8234326
