channel_index,snr_db,svd_rate,ucd_rate,delta_rate
0,0,1.1995824,0.38332803,-0.81625439
0,1,1.7475846,0.61885664,-1.128728
0,2,2.4272525,0.88967873,-1.5375738
0,3,3.2477326,1.6062541,-1.6414785
0,4,4.2401473,2.4350374,-1.8051098
0,5,5.3771403,3.5996555,-1.7774849
0,6,6.6514169,4.7061677,-1.9452492
0,7,8.0461051,5.9604542,-2.085651
0,8,9.5671549,7.4704261,-2.0967288
0,9,11.246973,9.0135587,-2.2334141
0,10,13.088284,10.632094,-2.4561896
0,11,15.074948,12.419895,-2.6550524
0,12,17.194037,14.318418,-2.8756185
0,13,19.455364,16.320698,-3.1346655
0,14,21.867431,18.709301,-3.1581296
0,15,24.377296,21.38837,-2.9889261
0,16,26.898804,24.402092,-2.4967117
0,17,29.319791,27.519585,-1.8002068
0,18,31.541252,30.924558,-0.61669359
0,19,33.511572,34.4438,0.93222754
0,20,35.204071,37.936156,2.7320848
0,21,36.638085,41.144184,4.506099
0,22,37.869139,43.729463,5.8603247
0,23,38.932136,45.597534,6.6653978
0,24,39.851688,46.816381,6.9646934
0,25,40.68392,47.494804,6.8108841
0,26,41.503168,47.822635,6.3194669
0,27,42.3429,47.966773,5.6238724
0,28,43.216207,47.99845,4.7822434
0,29,44.131496,47.999985,3.8684889
0,30,45.023064,48,2.9769361
