channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
0,0,0,1.6333752,0.22818763,-1.4051875
0,0,1,nan,nan,nan
0,0,2,nan,nan,nan
0,0,3,nan,nan,nan
0,0,4,nan,nan,nan
0,0,5,6.3415761,4.3188935,-2.0226826
0,0,6,nan,nan,nan
0,0,7,nan,nan,nan
0,0,8,nan,nan,nan
0,0,9,nan,nan,nan
0,0,10,14.161507,11.42872,-2.7327864
0,0,11,nan,nan,nan
0,0,12,nan,nan,nan
0,0,13,nan,nan,nan
0,0,14,nan,nan,nan
0,0,15,25.273751,23.104332,-2.1694185
0,0,16,27.781663,26.21569,-1.565973
0,0,17,30.140709,29.571167,-0.56954263
0,0,18,32.181868,32.842257,0.6603886
0,0,19,33.882402,36.231876,2.3494742
0,0,20,35.257475,39.420082,4.1626071
0,0,21,36.354058,42.09476,5.7407022
0,0,22,nan,nan,nan
0,0,23,nan,nan,nan
0,0,24,nan,nan,nan
0,0,25,40.062419,47.132617,7.0701986
0,0,26,nan,nan,nan
0,0,27,nan,nan,nan
0,0,28,nan,nan,nan
0,0,29,nan,nan,nan
0,0,30,45.597145,48,2.4028549
1,0,0,0.94076953,0,-0.94076953
1,0,1,nan,nan,nan
1,0,2,nan,nan,nan
1,0,3,nan,nan,nan
1,0,4,nan,nan,nan
1,0,5,3.5313174,0.48512116,-3.0461962
1,0,6,nan,nan,nan
1,0,7,nan,nan,nan
1,0,8,nan,nan,nan
1,0,9,nan,nan,nan
1,0,10,9.7084098,5.7457692,-3.9626406
1,0,11,nan,nan,nan
1,0,12,nan,nan,nan
1,0,13,nan,nan,nan
1,0,14,nan,nan,nan
1,0,15,18.559826,13.741606,-4.8182207
1,0,16,nan,nan,nan
1,0,17,nan,nan,nan
1,0,18,nan,nan,nan
1,0,19,26.254891,25.212757,-1.0421341
1,0,20,28.417849,27.51291,-0.90493919
1,0,21,30.51417,31.344369,0.83019953
1,0,22,32.419861,35.330673,2.9108122
1,0,23,34.093758,39.613943,5.5201846
1,0,24,35.519321,42.567952,7.0486311
1,0,25,36.658457,44.887072,8.2286142
1,0,26,nan,nan,nan
1,0,27,nan,nan,nan
1,0,28,nan,nan,nan
1,0,29,nan,nan,nan
1,0,30,40.08546,47.993803,7.9083431
