channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
0,0,17.463068,single_cross,nan,nan
1,0,20.521538,single_cross,nan,nan
2,0,23.445507,single_cross,nan,nan
3,0,20.316303,single_cross,nan,nan
4,0,29.197786,single_cross,nan,nan
5,0,20.000824,single_cross,nan,nan
6,0,19.073215,single_cross,nan,nan
7,0,25.909632,single_cross,nan,nan
8,0,19.436457,single_cross,nan,nan
9,0,18.963226,single_cross,nan,nan
10,0,19.296377,single_cross,nan,nan
11,0,18.915707,single_cross,nan,nan
12,0,19.710922,single_cross,nan,nan
13,0,24.040054,single_cross,nan,nan
14,0,20.374426,single_cross,nan,nan
15,0,17.903414,single_cross,nan,nan
16,0,16.804464,single_cross,nan,nan
17,0,20.17841,single_cross,nan,nan
18,0,18.049738,single_cross,nan,nan
19,0,19.962765,single_cross,nan,nan
20,0,20.731295,single_cross,nan,nan
21,0,20.891497,single_cross,nan,nan
22,0,20.103802,single_cross,nan,nan
23,0,21.095856,single_cross,nan,nan
24,0,18.212921,single_cross,nan,nan
25,0,20.340729,single_cross,nan,nan
26,0,18.751789,single_cross,nan,nan
27,0,17.871872,single_cross,nan,nan
28,0,17.876122,single_cross,nan,nan
29,0,18.15587,single_cross,nan,nan
30,0,20.912426,single_cross,nan,nan
31,0,18.247177,single_cross,nan,nan
32,0,19.184982,single_cross,nan,nan
33,0,15.911134,single_cross,nan,nan
34,0,19.191269,single_cross,nan,nan
35,0,20.967833,single_cross,nan,nan
36,0,24.428461,single_cross,nan,nan
37,0,20.134907,single_cross,nan,nan
38,0,17.239428,single_cross,nan,nan
39,0,19.396729,single_cross,nan,nan
40,0,19.105646,single_cross,nan,nan
41,0,19.946098,single_cross,nan,nan
42,0,19.400019,single_cross,nan,nan
43,0,20.972582,single_cross,nan,nan
44,0,21.023615,single_cross,nan,nan
45,0,17.700947,single_cross,nan,nan
46,0,17.036669,single_cross,nan,nan
47,0,21.782864,single_cross,nan,nan
48,0,18.160307,single_cross,nan,nan
49,0,17.425068,single_cross,nan,nan
50,0,18.622757,single_cross,nan,nan
51,0,20.831772,single_cross,nan,nan
52,0,23.776304,single_cross,nan,nan
53,0,19.807837,single_cross,nan,nan
54,0,20.839651,single_cross,nan,nan
55,0,25.781546,single_cross,nan,nan
56,0,19.403402,single_cross,nan,nan
57,0,18.883677,single_cross,nan,nan
58,0,19.532753,single_cross,nan,nan
59,0,19.281893,single_cross,nan,nan
60,0,19.835045,single_cross,nan,nan
61,0,21.803381,single_cross,nan,nan
62,0,19.267179,single_cross,nan,nan
63,0,19.585144,single_cross,nan,nan
64,0,18.874283,single_cross,nan,nan
65,0,18.200468,single_cross,nan,nan
66,0,20.855179,single_cross,nan,nan
67,0,16.930414,single_cross,nan,nan
68,0,19.093792,single_cross,nan,nan
69,0,19.2218,single_cross,nan,nan
70,0,19.737547,single_cross,nan,nan
71,0,22.405725,single_cross,nan,nan
72,0,21.566565,single_cross,nan,nan
73,0,20.889935,single_cross,nan,nan
74,0,17.888494,single_cross,nan,nan
75,0,17.742836,single_cross,nan,nan
76,0,19.178467,single_cross,nan,nan
77,0,16.887314,single_cross,nan,nan
78,0,22.801538,single_cross,nan,nan
79,0,19.801477,single_cross,nan,nan
80,0,18.535023,single_cross,nan,nan
81,0,15.409771,single_cross,nan,nan
82,0,20.372587,single_cross,nan,nan
83,0,17.659113,single_cross,nan,nan
84,0,20.065716,single_cross,nan,nan
85,0,21.340635,single_cross,nan,nan
86,0,21.445337,single_cross,nan,nan
87,0,15.682557,single_cross,nan,nan
88,0,22.920563,single_cross,nan,nan
89,0,18.422318,single_cross,nan,nan
90,0,16.663841,single_cross,nan,nan
91,0,20.77301,single_cross,nan,nan
92,0,18.47994,single_cross,nan,nan
93,0,19.557314,single_cross,nan,nan
94,0,20.338974,single_cross,nan,nan
95,0,19.73608,single_cross,nan,nan
96,0,22.203571,single_cross,nan,nan
97,0,18.136684,single_cross,nan,nan
98,0,18.383631,single_cross,nan,nan
99,0,18.193659,single_cross,nan,nan
100,0,25.7887,single_cross,nan,nan
101,0,17.51104,single_cross,nan,nan
102,0,21.271957,single_cross,nan,nan
103,0,17.941378,single_cross,nan,nan
104,0,22.25536,single_cross,nan,nan
105,0,17.893423,single_cross,nan,nan
106,0,24.380577,single_cross,nan,nan
107,0,21.107042,single_cross,nan,nan
108,0,19.418585,single_cross,nan,nan
109,0,22.285542,single_cross,nan,nan
110,0,18.169664,single_cross,nan,nan
111,0,17.97961,single_cross,nan,nan
112,0,19.168476,single_cross,nan,nan
113,0,19.018383,single_cross,nan,nan
114,0,16.228897,single_cross,nan,nan
115,0,19.157354,single_cross,nan,nan
116,0,22.507006,single_cross,nan,nan
117,0,20.780174,single_cross,nan,nan
118,0,17.340622,single_cross,nan,nan
119,0,20.64377,single_cross,nan,nan
120,0,19.545736,single_cross,nan,nan
121,0,18.004564,single_cross,nan,nan
122,0,21.241184,single_cross,nan,nan
123,0,20.646053,single_cross,nan,nan
124,0,20.73197,single_cross,nan,nan
125,0,17.710337,single_cross,nan,nan
126,0,23.413176,single_cross,nan,nan
127,0,20.516113,single_cross,nan,nan
128,0,20.955656,single_cross,nan,nan
129,0,22.205133,single_cross,nan,nan
130,0,19.944418,single_cross,nan,nan
131,0,18.689089,single_cross,nan,nan
132,0,21.484804,single_cross,nan,nan
133,0,22.24342,single_cross,nan,nan
134,0,19.831978,single_cross,nan,nan
135,0,17.797913,single_cross,nan,nan
136,0,21.973614,single_cross,nan,nan
137,0,20.922647,single_cross,nan,nan
138,0,18.743752,single_cross,nan,nan
139,0,21.155716,single_cross,nan,nan
140,0,17.522005,single_cross,nan,nan
141,0,21.089289,single_cross,nan,nan
142,0,19.624395,single_cross,nan,nan
143,0,18.461042,single_cross,nan,nan
144,0,16.872015,single_cross,nan,nan
145,0,22.814775,single_cross,nan,nan
146,0,19.894356,single_cross,nan,nan
147,0,19.043818,single_cross,nan,nan
148,0,19.057867,single_cross,nan,nan
149,0,20.99544,single_cross,nan,nan
150,0,21.282158,single_cross,nan,nan
151,0,17.925318,single_cross,nan,nan
152,0,18.599632,single_cross,nan,nan
153,0,20.931133,single_cross,nan,nan
154,0,18.38699,single_cross,nan,nan
155,0,19.71003,single_cross,nan,nan
156,0,21.64518,single_cross,nan,nan
157,0,23.357401,single_cross,nan,nan
158,0,18.998911,single_cross,nan,nan
159,0,19.639452,single_cross,nan,nan
160,0,18.383327,single_cross,nan,nan
161,0,20.032217,single_cross,nan,nan
162,0,22.243071,single_cross,nan,nan
163,0,21.97579,single_cross,nan,nan
164,0,22.314888,single_cross,nan,nan
165,0,17.565584,single_cross,nan,nan
166,0,21.708473,single_cross,nan,nan
167,0,17.795172,single_cross,nan,nan
168,0,18.571882,single_cross,nan,nan
169,0,19.419922,single_cross,nan,nan
170,0,18.643211,single_cross,nan,nan
171,0,18.983477,single_cross,nan,nan
172,0,18.277067,single_cross,nan,nan
173,0,18.624098,single_cross,nan,nan
174,0,20.885105,single_cross,nan,nan
175,0,17.196293,single_cross,nan,nan
176,0,20.88459,single_cross,nan,nan
177,0,21.273523,single_cross,nan,nan
178,0,19.009073,single_cross,nan,nan
179,0,17.951002,single_cross,nan,nan
180,0,18.526701,single_cross,nan,nan
181,0,21.542152,single_cross,nan,nan
182,0,20.357817,single_cross,nan,nan
183,0,17.420076,single_cross,nan,nan
184,0,16.479454,single_cross,nan,nan
185,0,16.682474,single_cross,nan,nan
186,0,18.339815,single_cross,nan,nan
187,0,18.970165,single_cross,nan,nan
188,0,23.539305,single_cross,nan,nan
189,0,17.653879,single_cross,nan,nan
190,0,16.110193,single_cross,nan,nan
191,0,20.593493,single_cross,nan,nan
192,0,20.362463,single_cross,nan,nan
193,0,19.167841,single_cross,nan,nan
194,0,23.137676,single_cross,nan,nan
195,0,22.767151,single_cross,nan,nan
196,0,19.532999,single_cross,nan,nan
197,0,18.86787,single_cross,nan,nan
198,0,21.458765,single_cross,nan,nan
199,0,25.242348,single_cross,nan,nan
200,0,22.492443,single_cross,nan,nan
201,0,20.370476,single_cross,nan,nan
202,0,22.695116,single_cross,nan,nan
203,0,17.637127,single_cross,nan,nan
204,0,20.305304,single_cross,nan,nan
205,0,18.187166,single_cross,nan,nan
206,0,16.188507,single_cross,nan,nan
207,0,17.411371,single_cross,nan,nan
208,0,16.726042,single_cross,nan,nan
209,0,18.860691,single_cross,nan,nan
210,0,17.872435,single_cross,nan,nan
211,0,20.69935,single_cross,nan,nan
212,0,19.121565,single_cross,nan,nan
213,0,18.672544,single_cross,nan,nan
214,0,19.573288,single_cross,nan,nan
215,0,24.023613,single_cross,nan,nan
216,0,19.442036,single_cross,nan,nan
217,0,18.399073,single_cross,nan,nan
218,0,17.073526,single_cross,nan,nan
219,0,22.384241,single_cross,nan,nan
220,0,20.923864,single_cross,nan,nan
221,0,22.864889,single_cross,nan,nan
222,0,21.617327,single_cross,nan,nan
223,0,18.383188,single_cross,nan,nan
224,0,18.728605,single_cross,nan,nan
225,0,21.06085,single_cross,nan,nan
226,0,20.990015,single_cross,nan,nan
227,0,17.189098,single_cross,nan,nan
228,0,20.965012,single_cross,nan,nan
229,0,18.019781,single_cross,nan,nan
230,0,20.281816,single_cross,nan,nan
231,0,20.308386,single_cross,nan,nan
232,0,20.781342,single_cross,nan,nan
233,0,17.599968,single_cross,nan,nan
234,0,18.621559,single_cross,nan,nan
235,0,17.606264,single_cross,nan,nan
236,0,20.637033,single_cross,nan,nan
237,0,20.968805,single_cross,nan,nan
238,0,21.024511,single_cross,nan,nan
239,0,20.692591,single_cross,nan,nan
240,0,19.080156,single_cross,nan,nan
241,0,17.997553,single_cross,nan,nan
242,0,18.262449,single_cross,nan,nan
243,0,17.784966,single_cross,nan,nan
244,0,19.281393,single_cross,nan,nan
245,0,22.520334,single_cross,nan,nan
246,0,19.450161,single_cross,nan,nan
247,0,20.205002,single_cross,nan,nan
248,0,18.415565,single_cross,nan,nan
249,0,21.802832,single_cross,nan,nan
250,0,18.919472,single_cross,nan,nan
251,0,22.880285,single_cross,nan,nan
252,0,20.100021,single_cross,nan,nan
253,0,18.753351,single_cross,nan,nan
254,0,18.070526,single_cross,nan,nan
255,0,18.383217,single_cross,nan,nan
256,0,21.408413,single_cross,nan,nan
257,0,23.351271,single_cross,nan,nan
258,0,16.296358,single_cross,nan,nan
259,0,17.047932,single_cross,nan,nan
260,0,20.950462,single_cross,nan,nan
261,0,19.16309,single_cross,nan,nan
262,0,15.895412,single_cross,nan,nan
263,0,16.355219,single_cross,nan,nan
264,0,17.932798,single_cross,nan,nan
265,0,18.654764,single_cross,nan,nan
266,0,20.961872,single_cross,nan,nan
267,0,21.026131,single_cross,nan,nan
268,0,20.774845,single_cross,nan,nan
269,0,19.860415,single_cross,nan,nan
270,0,19.452299,single_cross,nan,nan
271,0,20.720129,single_cross,nan,nan
272,0,21.089117,single_cross,nan,nan
273,0,21.156263,single_cross,nan,nan
274,0,20.96666,single_cross,nan,nan
275,0,19.485384,single_cross,nan,nan
276,0,19.355137,single_cross,nan,nan
277,0,24.575781,single_cross,nan,nan
278,0,24.888882,single_cross,nan,nan
279,0,16.894079,single_cross,nan,nan
280,0,22.783344,single_cross,nan,nan
281,0,18.189846,single_cross,nan,nan
282,0,17.305971,single_cross,nan,nan
283,0,18.702389,single_cross,nan,nan
284,0,22.566118,single_cross,nan,nan
285,0,20.305889,single_cross,nan,nan
286,0,21.390514,single_cross,nan,nan
287,0,17.180801,single_cross,nan,nan
288,0,19.117136,single_cross,nan,nan
289,0,20.106468,single_cross,nan,nan
290,0,16.113205,single_cross,nan,nan
291,0,17.555815,single_cross,nan,nan
292,0,20.012899,single_cross,nan,nan
293,0,19.004208,single_cross,nan,nan
294,0,18.578955,single_cross,nan,nan
295,0,20.515125,single_cross,nan,nan
296,0,19.725042,single_cross,nan,nan
297,0,20.34873,single_cross,nan,nan
298,0,18.957361,single_cross,nan,nan
299,0,19.349016,single_cross,nan,nan
300,0,21.302437,single_cross,nan,nan
301,0,20.151379,single_cross,nan,nan
302,0,18.294044,single_cross,nan,nan
303,0,17.467016,single_cross,nan,nan
304,0,16.198757,single_cross,nan,nan
305,0,15.817435,single_cross,nan,nan
306,0,22.525791,single_cross,nan,nan
307,0,17.434856,single_cross,nan,nan
308,0,18.80607,single_cross,nan,nan
309,0,18.760241,single_cross,nan,nan
310,0,18.256617,single_cross,nan,nan
311,0,20.644814,single_cross,nan,nan
312,0,21.054028,single_cross,nan,nan
313,0,17.789356,single_cross,nan,nan
314,0,18.590897,single_cross,nan,nan
315,0,21.737038,single_cross,nan,nan
316,0,18.856283,single_cross,nan,nan
317,0,18.308645,single_cross,nan,nan
318,0,17.413895,single_cross,nan,nan
319,0,21.035864,single_cross,nan,nan
320,0,17.71545,single_cross,nan,nan
321,0,19.824827,single_cross,nan,nan
322,0,18.671963,single_cross,nan,nan
323,0,18.24054,single_cross,nan,nan
324,0,18.139528,single_cross,nan,nan
325,0,18.818705,single_cross,nan,nan
326,0,20.360329,single_cross,nan,nan
327,0,18.441492,single_cross,nan,nan
328,0,24.758883,single_cross,nan,nan
329,0,22.12615,single_cross,nan,nan
330,0,19.20261,single_cross,nan,nan
331,0,18.50083,single_cross,nan,nan
332,0,16.523375,single_cross,nan,nan
333,0,22.07243,single_cross,nan,nan
334,0,19.648691,single_cross,nan,nan
335,0,18.260469,single_cross,nan,nan
336,0,19.875696,single_cross,nan,nan
337,0,16.802692,single_cross,nan,nan
338,0,18.774614,single_cross,nan,nan
339,0,23.630692,single_cross,nan,nan
340,0,20.987236,single_cross,nan,nan
341,0,17.966593,single_cross,nan,nan
342,0,17.986637,single_cross,nan,nan
343,0,18.782578,single_cross,nan,nan
344,0,18.239048,single_cross,nan,nan
345,0,18.443569,single_cross,nan,nan
346,0,20.883875,single_cross,nan,nan
347,0,19.732454,single_cross,nan,nan
348,0,19.875994,single_cross,nan,nan
349,0,24.017879,single_cross,nan,nan
350,0,19.26952,single_cross,nan,nan
351,0,19.308329,single_cross,nan,nan
352,0,21.357973,single_cross,nan,nan
353,0,18.115469,single_cross,nan,nan
354,0,21.462944,single_cross,nan,nan
355,0,19.602837,single_cross,nan,nan
356,0,18.544922,single_cross,nan,nan
357,0,17.986361,single_cross,nan,nan
358,0,17.322758,single_cross,nan,nan
359,0,19.255911,single_cross,nan,nan
360,0,20.905622,single_cross,nan,nan
361,0,22.656553,single_cross,nan,nan
362,0,21.990229,single_cross,nan,nan
363,0,24.404612,single_cross,nan,nan
364,0,21.889074,single_cross,nan,nan
365,0,22.196043,single_cross,nan,nan
366,0,23.366024,single_cross,nan,nan
367,0,18.93132,single_cross,nan,nan
368,0,19.146759,single_cross,nan,nan
369,0,16.605877,single_cross,nan,nan
370,0,19.292063,single_cross,nan,nan
371,0,20.620708,single_cross,nan,nan
372,0,18.237495,single_cross,nan,nan
373,0,21.444159,single_cross,nan,nan
374,0,23.019274,single_cross,nan,nan
375,0,23.207468,single_cross,nan,nan
376,0,18.859055,single_cross,nan,nan
377,0,19.557261,single_cross,nan,nan
378,0,18.800474,single_cross,nan,nan
379,0,19.691212,single_cross,nan,nan
380,0,16.553988,single_cross,nan,nan
381,0,20.723171,single_cross,nan,nan
382,0,17.17638,single_cross,nan,nan
383,0,23.972103,single_cross,nan,nan
384,0,19.292101,single_cross,nan,nan
385,0,23.254372,single_cross,nan,nan
386,0,17.91733,single_cross,nan,nan
387,0,23.792315,single_cross,nan,nan
388,0,15.332442,single_cross,nan,nan
389,0,18.040634,single_cross,nan,nan
390,0,18.792353,single_cross,nan,nan
391,0,24.632441,single_cross,nan,nan
392,0,22.079311,single_cross,nan,nan
393,0,18.745388,single_cross,nan,nan
394,0,18.862955,single_cross,nan,nan
395,0,18.362238,single_cross,nan,nan
396,0,22.65,single_cross,nan,nan
397,0,18.518564,single_cross,nan,nan
398,0,21.15431,single_cross,nan,nan
399,0,21.111389,single_cross,nan,nan
400,0,22.829924,single_cross,nan,nan
401,0,20.719675,single_cross,nan,nan
402,0,18.959446,single_cross,nan,nan
403,0,18.07271,single_cross,nan,nan
404,0,17.773359,single_cross,nan,nan
405,0,19.614874,single_cross,nan,nan
406,0,17.713209,single_cross,nan,nan
407,0,17.116146,single_cross,nan,nan
408,0,15.462928,single_cross,nan,nan
409,0,18.991034,single_cross,nan,nan
410,0,20.057432,single_cross,nan,nan
411,0,19.11426,single_cross,nan,nan
412,0,20.751896,single_cross,nan,nan
413,0,19.951847,single_cross,nan,nan
414,0,21.21402,single_cross,nan,nan
415,0,17.137722,single_cross,nan,nan
416,0,19.061901,single_cross,nan,nan
417,0,20.467222,single_cross,nan,nan
418,0,20.247799,single_cross,nan,nan
419,0,18.358301,single_cross,nan,nan
420,0,19.245827,single_cross,nan,nan
421,0,17.234356,single_cross,nan,nan
422,0,26.574356,single_cross,nan,nan
423,0,20.172026,single_cross,nan,nan
424,0,17.258751,single_cross,nan,nan
425,0,18.828733,single_cross,nan,nan
426,0,20.161753,single_cross,nan,nan
427,0,24.145088,single_cross,nan,nan
428,0,25.150837,single_cross,nan,nan
429,0,18.250862,single_cross,nan,nan
430,0,18.290956,single_cross,nan,nan
431,0,17.255108,single_cross,nan,nan
432,0,21.752678,single_cross,nan,nan
433,0,20.591263,single_cross,nan,nan
434,0,16.762009,single_cross,nan,nan
435,0,16.895412,single_cross,nan,nan
436,0,21.862986,single_cross,nan,nan
437,0,20.79904,single_cross,nan,nan
438,0,18.85396,single_cross,nan,nan
439,0,19.607676,single_cross,nan,nan
440,0,19.329683,single_cross,nan,nan
441,0,25.159393,single_cross,nan,nan
442,0,24.456514,single_cross,nan,nan
443,0,16.646078,single_cross,nan,nan
444,0,19.264023,single_cross,nan,nan
445,0,21.32127,single_cross,nan,nan
446,0,17.328621,single_cross,nan,nan
447,0,19.678707,single_cross,nan,nan
448,0,18.110865,single_cross,nan,nan
449,0,17.260897,single_cross,nan,nan
450,0,24.356859,single_cross,nan,nan
