channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
0,0,0,1.2494942,0.12066574,-1.1288285
0,0,1,1.8626096,0.39217864,-1.470431
0,0,2,2.6302086,0.82024492,-1.8099637
0,0,3,3.4961667,1.5877663,-1.9084004
0,0,4,4.4955873,2.6884059,-1.8071814
0,0,5,5.6082507,3.9039666,-1.7042841
0,0,6,6.8571525,5.0769975,-1.780155
0,0,7,8.2678384,6.4624517,-1.8053867
0,0,8,9.8421162,7.5456359,-2.2964803
0,0,9,11.589264,9.029656,-2.559608
0,0,10,13.5022,10.616258,-2.8859419
0,0,11,15.552957,12.415406,-3.137551
0,0,12,17.731769,14.230581,-3.5011881
0,0,13,20.050647,16.265401,-3.7852459
0,0,14,22.488538,18.67265,-3.8158883
0,0,15,24.996065,21.232427,-3.7636376
0,0,16,27.515946,24.312514,-3.2034315
0,0,17,30.001072,27.900232,-2.1008403
0,0,18,32.346278,31.807095,-0.53918373
0,0,19,34.440963,35.759056,1.3180922
0,0,20,36.158425,39.433555,3.2751296
0,0,21,37.44685,42.561966,5.1151158
0,0,22,38.405509,44.906254,6.5007452
0,0,23,39.146654,46.405953,7.2592987
0,0,24,39.808031,47.230806,7.4227751
0,0,25,40.512447,47.69089,7.1784429
0,0,26,41.277256,47.92929,6.6520339
0,0,27,42.079361,47.994839,5.915478
0,0,28,42.958875,47.999887,5.0410114
0,0,29,43.932539,47.999999,4.0674599
0,0,30,44.945315,48,3.0546851
1,0,0,1.2218477,0.017400143,-1.2044476
1,0,1,1.6259785,0.072406118,-1.5535724
1,0,2,2.0952356,0.095025509,-2.0002101
1,0,3,2.6584379,0.31618187,-2.342256
1,0,4,3.3296781,0.43852407,-2.891154
1,0,5,4.100949,1.1065098,-2.9944392
1,0,6,5.0137662,1.5107025,-3.5030637
1,0,7,6.0866568,2.201866,-3.8847908
1,0,8,7.3029848,3.3098592,-3.9931256
1,0,9,8.6208214,4.6795807,-3.9412407
1,0,10,10.078447,6.6421073,-3.4363397
1,0,11,11.624503,8.2372878,-3.3872153
1,0,12,13.267758,9.833301,-3.434457
1,0,13,15.012352,11.477313,-3.5350397
1,0,14,16.885257,12.950056,-3.9352003
1,0,15,18.879073,14.595981,-4.2830918
1,0,16,20.88747,17.47246,-3.4150108
1,0,17,22.837767,19.170606,-3.6671612
1,0,18,24.740848,21.818336,-2.9225123
1,0,19,26.574842,24.82134,-1.7535026
1,0,20,28.346072,27.630426,-0.71564607
1,0,21,30.089463,31.171625,1.0821613
1,0,22,31.835492,34.597774,2.7622827
1,0,23,33.545312,38.695869,5.1505576
1,0,24,35.101839,41.987465,6.8856259
1,0,25,36.478422,44.458862,7.9804394
1,0,26,37.627446,46.140002,8.512556
1,0,27,38.538179,47.18463,8.6464509
1,0,28,39.289753,47.731342,8.4415889
1,0,29,39.990778,47.945653,7.9548749
1,0,30,40.738829,47.994063,7.2552335
2,0,0,0.068933483,0.010285019,-0.058648464
2,0,1,0.13665636,0.022978442,-0.11367792
2,0,2,0.26531303,0.044262837,-0.2210502
2,0,3,0.44146682,0.070938878,-0.37052794
2,0,4,0.64450356,0.10571112,-0.53879244
2,0,5,0.90542454,0.12333665,-0.78208789
2,0,6,1.2456359,0.31405223,-0.93158371
2,0,7,1.6901024,0.59405554,-1.0960468
2,0,8,2.2267961,1.0198312,-1.206965
2,0,9,2.8943443,1.5794261,-1.3149182
2,0,10,3.6756002,2.3318533,-1.343747
2,0,11,4.6251568,3.1920692,-1.4330876
2,0,12,5.7816122,4.2002877,-1.5813245
2,0,13,7.1380453,5.5224874,-1.6155579
2,0,14,8.6401517,6.9319941,-1.7081576
2,0,15,10.289148,8.1043435,-2.1848045
2,0,16,12.101503,9.6779858,-2.4235171
2,0,17,14.057083,11.343716,-2.7133676
2,0,18,16.11844,13.116995,-3.0014449
2,0,19,18.269621,15.079195,-3.1904263
2,0,20,20.491508,17.316704,-3.174804
2,0,21,22.759798,19.675942,-3.0838566
2,0,22,25.028528,22.987325,-2.0412036
2,0,23,27.288738,26.376927,-0.9118111
2,0,24,29.537371,30.01995,0.48257857
2,0,25,31.737231,33.860509,2.1232779
2,0,26,33.792105,37.476148,3.6840438
2,0,27,35.671958,40.549979,4.8780207
2,0,28,37.411271,43.1505,5.73923
2,0,29,39.001738,45.171862,6.1701242
2,0,30,40.4299,46.561172,6.1312724
3,0,0,1.1438058,0.0052466731,-1.1385591
3,0,1,1.601135,0,-1.601135
3,0,2,2.1520061,0.05572045,-2.0962857
3,0,3,2.8037697,0.37370488,-2.4300648
3,0,4,3.5172765,0.88707091,-2.6302056
3,0,5,4.3390705,1.4036935,-2.9353771
3,0,6,5.2483187,2.0703626,-3.1779561
3,0,7,6.3224157,2.8720864,-3.4503293
3,0,8,7.5773761,4.09856,-3.4788162
3,0,9,8.9895228,5.1192863,-3.8702365
3,0,10,10.586226,6.374065,-4.2121613
3,0,11,12.352578,7.6721098,-4.6804683
3,0,12,14.201211,9.2956688,-4.9055423
3,0,13,16.060575,10.869385,-5.1911893
3,0,14,17.87342,12.412582,-5.4608387
3,0,15,19.600721,14.713176,-4.8875451
3,0,16,21.226796,17.275834,-3.9509617
3,0,17,22.785621,19.809648,-2.975973
3,0,18,24.327044,22.412687,-1.9143568
3,0,19,25.836841,25.689546,-0.14729508
3,0,20,27.2868,29.04868,1.7618803
3,0,21,28.612218,31.522047,2.909829
3,0,22,29.845723,35.060293,5.2145698
3,0,23,31.133015,38.668652,7.5356369
3,0,24,32.513255,41.745032,9.2317774
3,0,25,33.966462,44.061963,10.095501
3,0,26,35.469313,45.846256,10.376942
3,0,27,36.900354,46.952094,10.05174
3,0,28,38.199819,47.548366,9.3485468
3,0,29,39.350463,47.838402,8.4879392
3,0,30,40.374127,47.980102,7.605975
4,0,0,0.080736178,0,-0.080736178
4,0,1,0.15557971,0.0138316,-0.14174811
