channel_index,config_id,threshold_db,crossing_type,delta_min,delta_max
0,0,18.290309,single_cross,-3.8158883,7.4227751
1,0,20.398066,single_cross,-4.2830918,8.6464509
2,0,23.653914,single_cross,-3.1904263,6.1701242
3,0,19.077151,single_cross,-5.4608387,10.376942
4,0,27.615408,single_cross,-8.2188419,5.0758038
5,0,18.878452,single_cross,-4.1157313,8.6776762
6,0,19.615321,single_cross,-7.4347567,9.7693141
7,0,26.824923,single_cross,-13.703005,8.5088899
8,0,18.500776,single_cross,-5.7025148,11.838574
9,0,18.491859,single_cross,-5.0610101,10.523658
10,0,19.675676,single_cross,-2.7978871,5.7139068
11,0,18.609114,single_cross,-3.0719122,5.141704
12,0,19.102586,single_cross,-3.5386067,6.2711236
13,0,23.863158,single_cross,-7.8679948,11.642524
14,0,20.409762,single_cross,-7.5358328,12.037303
15,0,17.538849,single_cross,-3.9491009,8.4085338
16,0,16.383772,single_cross,-3.1001022,6.9906627
17,0,18.475869,single_cross,-3.3559728,6.868943
18,0,18.745455,single_cross,-2.6164478,6.6290376
19,0,20.769694,single_cross,-4.7478965,8.3268677
20,0,20.667697,single_cross,-5.0638017,9.0855645
21,0,21.183922,single_cross,-3.4116049,7.9682448
22,0,21.334544,single_cross,-5.386842,10.152298
23,0,21.976073,single_cross,-3.5535099,7.5927209
24,0,18.001576,single_cross,-1.9413232,5.0091986
25,0,20.670013,single_cross,-5.913656,11.126974
26,0,18.962746,single_cross,-3.6566734,7.8489869
27,0,18.104434,single_cross,-1.9824342,4.8613831
28,0,17.911286,single_cross,-3.7416861,9.3378621
29,0,18.888384,single_cross,-2.548082,5.1106964
30,0,20.236386,single_cross,-4.6994815,8.1443845
31,0,19.104564,single_cross,-3.1955135,8.5336995
32,0,19.438756,single_cross,-4.7891602,5.7505066
33,0,16.13798,single_cross,-1.6751492,3.7986572
34,0,18.977733,single_cross,-2.9151777,6.2866798
35,0,20.097087,single_cross,-3.020971,7.0952193
36,0,24.755253,single_cross,-6.8646344,7.5754146
37,0,20.087064,single_cross,-4.2934119,8.2342825
38,0,17.434675,single_cross,-3.3139807,7.7818571
39,0,18.581715,single_cross,-3.0498203,7.8560002
40,0,18.366516,single_cross,-2.7254866,8.0735903
41,0,19.147508,single_cross,-6.5993538,9.8502218
42,0,19.535163,single_cross,-2.5461972,5.9572223
43,0,21.124273,single_cross,-4.2848247,7.5851694
44,0,20.958467,single_cross,-4.6367238,7.746414
45,0,17.730999,single_cross,-3.0064955,6.1456184
46,0,17.28349,single_cross,-3.1518466,6.9373225
47,0,20.653003,single_cross,-2.9009332,6.8889338
48,0,17.610369,single_cross,-4.304094,8.978276
49,0,17.603582,single_cross,-4.047479,7.8984036
50,0,17.874504,single_cross,-4.3808842,8.808715
51,0,20.67717,single_cross,-3.2590273,7.5222751
52,0,23.054041,single_cross,-5.452705,10.200066
53,0,20.586133,single_cross,-4.7975537,9.4330791
54,0,20.628646,single_cross,-6.4034634,10.606091
55,0,25.348577,single_cross,-6.8019027,8.2406444
56,0,18.962152,single_cross,-2.7538841,7.6833164
57,0,19.002635,single_cross,-1.9269327,5.8609103
58,0,19.933914,single_cross,-4.5418901,9.7369133
59,0,19.253211,single_cross,-3.8154046,7.0759369
60,0,19.706134,single_cross,-4.2863183,9.801467
61,0,21.160598,single_cross,-6.1262754,10.962973
62,0,19.779147,single_cross,-3.6785052,7.7392396
63,0,19.260773,single_cross,-3.6216269,7.4414615
64,0,19.852158,single_cross,-4.0287095,8.3091292
65,0,19.08333,single_cross,-2.4355007,4.7600551
66,0,20.391575,single_cross,-5.0064413,9.7936303
67,0,17.594484,single_cross,-4.1643616,8.6679018
68,0,18.661944,single_cross,-2.1166087,4.9303174
69,0,18.733491,single_cross,-4.1573018,7.7371292
70,0,20.227585,single_cross,-3.2741416,7.2399981
71,0,21.169955,single_cross,-10.032999,11.274229
72,0,19.878631,single_cross,-2.4752054,6.4949617
73,0,21.342395,single_cross,-7.4963062,11.394162
74,0,17.820146,single_cross,-2.8381761,7.301132
75,0,18.02023,single_cross,-2.641036,7.1369639
76,0,18.699789,single_cross,-5.1685769,10.608032
77,0,16.919559,single_cross,-2.2957047,4.617506
78,0,22.487206,single_cross,-5.0062912,8.1300169
79,0,19.012256,single_cross,-2.3547619,6.2082773
80,0,18.827786,single_cross,-4.0434629,7.3930187
81,0,15.794898,single_cross,-2.021907,4.9861125
82,0,20.228874,single_cross,-2.6683047,4.9040323
83,0,18.16824,single_cross,-4.9706152,9.3259541
84,0,19.943656,single_cross,-3.6076232,7.2777051
85,0,21.233907,single_cross,-2.8469845,7.9258676
86,0,22.162681,single_cross,-5.8016927,9.2090087
87,0,17.175996,single_cross,-2.0667222,5.6037024
88,0,22.395351,single_cross,-6.6875864,9.8467123
89,0,18.103432,single_cross,-2.9632476,5.0764051
90,0,17.099749,single_cross,-3.145761,6.5388949
91,0,19.966839,single_cross,-7.43477,10.360745
92,0,18.739563,single_cross,-3.7730679,8.5733759
93,0,19.955096,single_cross,-4.5191352,8.6437119
94,0,20.495307,single_cross,-4.1080072,9.1448064
95,0,19.450174,single_cross,-5.9089407,9.2751657
96,0,21.811257,single_cross,-6.6941154,9.238596
97,0,17.914232,single_cross,-3.5787571,8.6202274
98,0,18.746302,single_cross,-5.0062018,10.022123
99,0,17.998289,single_cross,-1.7453528,4.9608327
100,0,26.532754,single_cross,-11.526047,8.3646256
101,0,17.605435,single_cross,-2.7452705,6.47275
102,0,20.717012,single_cross,-4.2727505,9.6915825
103,0,17.760932,single_cross,-3.262667,6.8352664
104,0,21.794833,single_cross,-4.6954313,8.6052771
105,0,19.091734,single_cross,-3.827769,9.6160817
106,0,23.580431,single_cross,-5.7829669,9.5628555
107,0,20.602315,single_cross,-4.3737596,7.9561926
108,0,18.897179,single_cross,-3.1050874,6.821584
109,0,21.8662,single_cross,-7.0949242,12.053483
110,0,18.01419,single_cross,-2.5051482,5.436674
111,0,17.904024,single_cross,-3.2889922,7.3190164
112,0,19.123216,single_cross,-1.879199,3.702448
113,0,18.416455,single_cross,-2.9615583,6.8733911
