channel_index,snr_db,svd_rate,ucd_rate,delta_rate
0,0,1.6333752,0.22818763,-1.4051875
0,5,6.3415761,4.3188935,-2.0226826
0,10,14.161507,11.42872,-2.7327864
0,15,25.273751,23.104332,-2.1694185
0,20,35.257475,39.420082,4.1626071
0,25,40.062419,47.132617,7.0701986
0,30,45.597145,48,2.4028549
1,0,0.44100209,0,-0.44100209
1,5,3.6827467,1.2338223,-2.4489244
1,10,10.795309,7.4497515,-3.3455573
1,15,21.194601,16.239911,-4.9546906
1,20,32.135502,32.953947,0.81844441
1,25,38.821499,46.5218,7.7003003
1,30,43.036886,47.999996,4.96311
2,0,0.18637588,0.00043193075,-0.18594395
2,5,1.8169918,0,-1.8169918
2,10,4.9216809,0.70415668,-4.2175242
2,15,11.095861,5.9415013,-5.1543601
2,20,19.047142,10.860716,-8.1864257
2,25,25.660498,27.0601,1.3996029
2,30,33.466429,43.957304,10.490874
3,0,1.2672484,0.32888983,-0.93835853
3,5,5.1071937,2.9867684,-2.1204252
3,10,12.309135,9.4384741,-2.8706606
3,15,23.347702,18.883786,-4.4639151
3,20,33.162048,34.663463,1.5014155
3,25,38.67053,47.214242,8.5437115
3,30,41.768926,47.99999,6.2310642
4,0,1.029291,0.13165591,-0.89763514
4,5,3.8753414,0.31137395,-3.5639674
4,10,9.6730997,2.9557592,-6.7173406
4,15,18.401947,8.7924934,-9.6094535
4,20,25.873182,22.630093,-3.2430887
4,25,31.16426,37.42288,6.25862
4,30,36.801396,47.826701,11.025305
5,0,1.3675277,0.57348687,-0.79404084
5,5,4.9501384,3.0924442,-1.8576942
5,10,12.743165,9.3555776,-3.3875874
5,15,22.529984,19.86616,-2.6638243
5,20,32.922125,35.102359,2.1802337
5,25,39.008097,47.117206,8.1091091
5,30,42.59501,48,5.4049903
6,0,0.80189744,0,-0.80189744
6,5,2.6757676,0.67196805,-2.0037995
6,10,6.7830558,4.0050637,-2.7779922
6,15,14.955041,11.733295,-3.2217463
6,20,24.369802,23.988912,-0.38089029
6,25,34.354635,41.433239,7.0786032
6,30,41.963638,47.668042,5.7044045
7,0,0.36116284,0.036510706,-0.32465214
7,5,2.4679496,0.58626797,-1.8816816
7,10,6.9539772,3.0910654,-3.8629119
7,15,15.464681,10.299624,-5.1650566
7,20,24.869459,20.891954,-3.9775054
7,25,33.634195,38.719186,5.0849903
7,30,39.425708,47.596097,8.1703889
