snr_db,avg_svd,avg_gmd_thp,gain_gmd_thp_vs_svd,avg_svd_leakage,avg_gmd_thp_leakage
-10.0,0.6498165405728908,0.00019824362149556407,-0.6496182969513953,0.0,0.0
-5.0,1.75255996492782,0.0009591795407253301,-1.7516007853870947,0.0,0.0
0.0,3.8924453054489048,0.006506160027897501,-3.8859391454210073,0.0,0.0
5.0,7.1787878244097145,0.00560149884335015,-7.173186325566364,0.0,0.0
10.0,11.22944706381611,1.06938455499259,-10.16006250882352,0.0,0.0
15.0,15.599326321913157,7.740687309485286,-7.858639012427871,0.0,0.0
20.0,19.84294273334774,18.511939993649968,-1.331002739697773,0.0,0.0
25.0,23.514176412708405,27.405922043267335,3.8917456305589297,0.0,0.0
30.0,26.21445918120032,31.10261124528268,4.888152064082362,0.0,0.0
35.0,28.608677487551653,31.994281216761603,3.385603729209951,0.0,0.0
40.0,30.447831866887967,32.0,1.5521681331120334,0.0,0.0
