snr_db,avg_svd,avg_gmd,avg_gmd_thp,avg_baseline,avg_ao,avg_svd_gaussian,avg_gmd_gaussian,avg_gmd_thp_gaussian,avg_baseline_gaussian,avg_ao_gaussian,gain_gmd_thp_vs_gmd,gain_ao_vs_svd,gain_ao_vs_gmd,gain_ao_vs_baseline,gap_svd_gaussian_vs_svd,gap_gmd_gaussian_vs_gmd,gap_gmd_thp_gaussian_vs_gmd_thp,gap_baseline_gaussian_vs_baseline,gap_ao_gaussian_vs_ao,avg_svd_leakage,avg_gmd_leakage,avg_baseline_leakage,avg_ao_leakage
0.0000000000,5.0854382723,0.4625490497,0.0165630540,5.0854382723,6.4677187637,5.8799287971,2.9677399375,2.9677399375,5.8799287971,7.3191425381,-0.4459859958,1.3822804914,6.0051697140,1.3822804914,0.7944905248,2.5051908877,2.9511768835,0.7944905248,0.8514237744,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5.0000000000,10.2203380848,0.5967944910,1.1305495162,10.2203380848,12.1857802426,11.4840655385,7.3337283833,7.3337283833,11.4840655385,13.5737131185,0.5337550253,1.9654421578,11.5889857516,1.9654421578,1.2637274537,6.7369338923,6.2031788670,1.2637274537,1.3879328760,0.0000000000,0.0000000000,0.0000000000,0.0000000000
10.0000000000,17.5666030652,1.7823938942,7.0693009362,17.5666030652,20.2616604762,19.2787359501,15.0083333043,15.0083333043,19.2787359501,22.0644499913,5.2869070420,2.6950574110,18.4792665820,2.6950574110,1.7121328849,13.2259394101,7.9390323681,1.7121328849,1.8027895150,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15.0000000000,26.1187432984,4.3192769123,18.9643335638,26.1187432984,30.1973023146,28.8806169750,25.5583442296,25.5583442296,28.8806169750,32.7934351950,14.6450566515,4.0785590162,25.8780254024,4.0785590162,2.7618736766,21.2390673173,6.5940106658,2.7618736766,2.5961328804,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20.0000000000,33.6443245374,9.8512522357,32.8545822773,34.8479760450,40.3095418604,39.8640532673,37.7699239156,37.7699239156,39.4855516450,44.8604450311,23.0033300416,6.6652173230,30.4582896247,5.4615658154,6.2197287299,27.9186716798,4.9153416383,4.6375755999,4.5509031707,0.0000000000,0.0000000000,0.0000000000,0.0000000000
25.0000000000,39.0012485747,24.9676347088,43.4085389426,43.4085389426,46.9878318843,51.8140664531,50.6861212570,50.6861212570,50.6861212570,57.2610324965,18.4409042338,7.9865833096,22.0201971755,3.5792929417,12.8128178784,25.7184865482,7.2775823144,7.2775823144,10.2732006122,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30.0000000000,42.7387126111,39.9020263858,47.5243371408,47.5243371408,47.9917138037,64.3820460692,63.8526891023,63.8526891023,63.8526891023,68.9594393514,7.6223107550,5.2530011925,8.0896874179,0.4673766628,21.6433334581,23.9506627165,16.3283519615,16.3283519615,20.9677255478,0.0000000000,0.0000000000,0.0000000000,0.0000000000
35.0000000000,45.3175503374,47.9913500239,47.9971396352,47.9971396352,47.9999999350,77.3176632714,77.1017050607,77.1017050607,77.1017050607,78.6687459427,0.0057896112,2.6824495976,0.0086499111,0.0028602998,32.0001129341,29.1103550368,29.1045654255,29.1045654255,30.6687460077,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40.0000000000,46.7156675020,48.0000000000,48.0000000000,48.0000000000,47.9999999862,90.4548377719,90.3771411261,90.3771411261,90.3771411261,90.3776184956,0.0000000000,1.2843324843,-0.0000000138,-0.0000000138,43.7391702700,42.3771411261,42.3771411261,42.3771411261,42.3776185094,0.0000000000,0.0000000000,0.0000000000,0.0000000000
45.0000000000,47.4794563707,48.0000000000,48.0000000000,48.0000000000,48.0000000000,103.6868377329,103.6609674280,103.6609674280,103.6621152069,103.6621171370,0.0000000000,0.5205436293,0.0000000000,0.0000000000,56.2073813621,55.6609674280,55.6609674280,55.6621152069,55.6621171370,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50.0000000000,47.8287000351,48.0000000000,48.0000000000,48.0000000000,48.0000000000,116.9557790627,116.9474505245,116.9474505245,116.9482813346,116.9482838695,0.0000000000,0.1712999649,0.0000000000,0.0000000000,69.1270790276,68.9474505245,68.9474505245,68.9482813346,68.9482838695,0.0000000000,0.0000000000,0.0000000000,0.0000000000
