snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.3270624803,0.0028604865,-0.3242019938,0.8093025039
-7.5000000000,0.5842221016,0.0045015668,-0.5797205348,0.6023308380
-5.0000000000,1.1777599029,0.0068674793,-1.1708924236,0.4282599219
-2.5000000000,2.0058309663,0.0074497859,-1.9983811804,0.3051919545
0.0000000000,3.3838063756,0.0183130954,-3.3654932802,0.1960002643
2.5000000000,5.2566542011,0.1016916400,-5.1549625610,0.1303511450
5.0000000000,7.8438253470,0.6929773160,-7.1508480310,0.0882691624
7.5000000000,11.2810744588,2.1725957003,-9.1084787585,0.0544075466
10.0000000000,15.1143921941,5.1325362867,-9.9818559074,0.0336685455
12.5000000000,19.3770024002,9.7967839159,-9.5802184843,0.0208183387
15.0000000000,23.6752843474,15.5880243459,-8.0872600014,0.0129390610
17.5000000000,27.7733650961,21.9533413494,-5.8200237467,0.0079379619
20.0000000000,31.3937572904,28.4314943046,-2.9622629858,0.0048221953
22.5000000000,34.5631406733,34.7837597201,0.2206190468,0.0029047495
25.0000000000,37.1943178844,40.1598845306,2.9655666462,0.0017303190
27.5000000000,39.4719433897,44.1749121250,4.7029687353,0.0010209600
30.0000000000,41.4393616664,46.5807351961,5.1413735297,0.0005974117
32.5000000000,43.1116643973,47.6734391793,4.5617747819,0.0003467609
35.0000000000,44.5501866366,47.9649235880,3.4147369514,0.0001991617
37.5000000000,45.5603100649,47.9990991603,2.4387890954,0.0001133333
40.0000000000,46.2508305944,48.0000000000,1.7491694056,0.0000641342
42.5000000000,46.8152558831,48.0000000000,1.1847441169,0.0000361830
45.0000000000,47.2623378050,48.0000000000,0.7376621950,0.0000203807
47.5000000000,47.5584508500,48.0000000000,0.4415491500,0.0000114702
50.0000000000,47.7429314922,48.0000000000,0.2570685078,0.0000064528
