snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.5260049291,0.0024951961,-0.5235097330,0.6980240685
-7.5000000000,0.8528836034,0.0031257594,-0.8497578440,0.6039420375
-5.0000000000,1.4414430235,0.0035180407,-1.4379249828,0.5281759515
-2.5000000000,2.1651602467,0.0061194969,-2.1590407498,0.3173343077
0.0000000000,3.3535957332,0.0045501409,-3.3490455923,0.2010755346
2.5000000000,4.9049022393,0.0121153643,-4.8927868750,0.1311985383
5.0000000000,6.7505067364,0.0467642841,-6.7037424524,0.0810646606
7.5000000000,8.6447535817,0.1634490635,-8.4813045182,0.0520463826
10.0000000000,10.8210478070,0.5750701084,-10.2459776987,0.0328099796
12.5000000000,12.5654359550,1.2058760221,-11.3595599329,0.0205713709
15.0000000000,13.9901426258,2.1456846104,-11.8444580154,0.0128816988
17.5000000000,15.3777515257,4.9725652866,-10.4051862391,0.0076035323
20.0000000000,16.8491144636,10.3262432572,-6.5228712065,0.0046656137
22.5000000000,18.1678280029,16.2003444301,-1.9674835728,0.0028288239
25.0000000000,19.5809362765,22.4992746677,2.9183383912,0.0016011192
27.5000000000,21.0430777970,27.4410223642,6.3979445672,0.0009127869
30.0000000000,22.7206651684,30.3881608073,7.6674956389,0.0005225293
32.5000000000,24.4069429275,31.7106380250,7.3036950975,0.0002986751
35.0000000000,25.9310930017,31.9920749203,6.0609819186,0.0001694592
37.5000000000,27.2464031889,31.9999993500,4.7535961610,0.0000958758
40.0000000000,28.3552842264,32.0000000000,3.6447157736,0.0000542061
42.5000000000,29.2488207633,32.0000000000,2.7511792367,0.0000306541
45.0000000000,29.9735745206,32.0000000000,2.0264254794,0.0000173388
47.5000000000,30.5946814548,32.0000000000,1.4053185452,0.0000098014
50.0000000000,31.1320490979,32.0000000000,0.8679509021,0.0000055336
