snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.3020791885,0.0023868333,-0.2996923552,0.7649677578
-7.5000000000,0.4942692251,0.0026482259,-0.4916209992,0.6585568011
-5.0000000000,0.7974251845,0.0025401132,-0.7948850713,0.4694960369
-2.5000000000,1.5375253864,0.0051822708,-1.5323431156,0.2967605220
0.0000000000,2.7100499340,0.0039130561,-2.7061368780,0.1945501197
2.5000000000,4.1961861202,0.0078366032,-4.1883495170,0.1142344668
5.0000000000,6.2726334014,0.0130455615,-6.2595878398,0.0626346476
7.5000000000,8.8085958317,0.1377286263,-8.6708672055,0.0372178044
10.0000000000,11.4321535181,0.1148930531,-11.3172604650,0.0223011030
12.5000000000,14.2814347456,0.3501820287,-13.9312527168,0.0144319901
15.0000000000,16.9608469496,1.4554704145,-15.5053765351,0.0095409227
17.5000000000,19.4609839677,3.4162777018,-16.0447062659,0.0061240446
20.0000000000,21.6105863336,7.0347060790,-14.5758802546,0.0039118774
22.5000000000,23.5892546975,12.7008316537,-10.8884230438,0.0024192514
25.0000000000,25.2794822428,18.8634414872,-6.4160407556,0.0014301057
27.5000000000,27.1354441873,26.5324214866,-0.6030227007,0.0008486012
30.0000000000,28.8591284897,33.8998206187,5.0406921290,0.0005083321
32.5000000000,30.7467684870,39.9725143487,9.2257458617,0.0002980154
35.0000000000,32.5951885241,44.8893073906,12.2941188666,0.0001724259
37.5000000000,34.5935063479,47.3318110869,12.7383047390,0.0000986240
40.0000000000,36.7101351648,47.9360910651,11.2259559003,0.0000558916
42.5000000000,38.7208325000,47.9983333971,9.2775008971,0.0000315197
45.0000000000,40.5677007248,48.0000000000,7.4322992752,0.0000177375
47.5000000000,42.2619150614,48.0000000000,5.7380849386,0.0000099743
50.0000000000,43.7885636566,48.0000000000,4.2114363434,0.0000056079
