snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.0473778899,0.0000150597,-0.0473628301,1.0205405944
-7.5000000000,0.0814964461,0.0000683136,-0.0814281325,1.0175217481
-5.0000000000,0.1392295523,0.0001166504,-0.1391129018,0.9863996438
-2.5000000000,0.2445336953,0.0006598329,-0.2438738624,0.8386427279
0.0000000000,0.3439774694,0.0002275213,-0.3437499481,0.6929342398
2.5000000000,0.6267548410,0.0001818662,-0.6265729749,0.5033189949
5.0000000000,1.0875627157,0.0005003297,-1.0870623861,0.4016969234
7.5000000000,1.6240865727,0.0008965703,-1.6231900024,0.3469383895
10.0000000000,2.3601030926,0.0009126579,-2.3591904347,0.2519256643
12.5000000000,3.4290147790,0.0046705216,-3.4243442574,0.1542982858
15.0000000000,4.7214498165,0.0122123560,-4.7092374605,0.0976543336
17.5000000000,6.1894173952,0.0048490786,-6.1845683166,0.0632107289
20.0000000000,7.7059933940,0.0236727087,-7.6823206853,0.0422707059
22.5000000000,9.0155381679,0.0429679567,-8.9725702112,0.0274636686
25.0000000000,10.5083997046,0.0304788695,-10.4779208351,0.0178432313
27.5000000000,11.9244794654,0.0469221384,-11.8775573270,0.0116120074
30.0000000000,13.0591727501,0.1637987158,-12.8953740343,0.0076400050
32.5000000000,14.2778996930,0.4010274000,-13.8768722930,0.0051948979
35.0000000000,15.1356064597,2.2379433684,-12.8976630913,0.0033398098
37.5000000000,16.0025370622,4.1026218430,-11.8999152192,0.0019932033
40.0000000000,16.7910785886,7.8498866471,-8.9411919415,0.0011114513
42.5000000000,17.6700808878,12.9377863104,-4.7322945775,0.0006207020
45.0000000000,18.6183228240,18.4815230912,-0.1367997328,0.0003503893
47.5000000000,19.6453630205,23.3374692210,3.6921062005,0.0001967953
50.0000000000,20.7177046607,27.0276771121,6.3099724513,0.0001111244
