snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.4038992104,0.0016510844,-0.4022481261,0.6628602212
-7.5000000000,0.7091027449,0.0024453468,-0.7066573981,0.5675100735
-5.0000000000,1.1878190696,0.0025587026,-1.1852603670,0.4455813256
-2.5000000000,1.8656086277,0.0055149090,-1.8600937188,0.2752201618
0.0000000000,2.7627483730,0.0053764348,-2.7573719382,0.1782616532
2.5000000000,3.7569129761,0.0061794483,-3.7507335278,0.1245115100
5.0000000000,5.0234239660,0.0624189700,-4.9610049959,0.0895742363
7.5000000000,6.9688235227,0.0799864503,-6.8888370724,0.0583492458
10.0000000000,8.5993807995,0.4640444738,-8.1353363257,0.0378786003
12.5000000000,10.1134264466,1.1095106292,-9.0039158174,0.0249267050
15.0000000000,11.8271214014,2.3251816336,-9.5019397678,0.0159938818
17.5000000000,13.3226555310,4.1935815142,-9.1290740168,0.0099011240
20.0000000000,14.9508178833,7.0329318878,-7.9178859955,0.0061510384
22.5000000000,16.6124505953,10.8934235627,-5.7190270327,0.0039050688
25.0000000000,18.2463689625,15.3385353633,-2.9078335991,0.0025040899
27.5000000000,19.7625522030,20.6468668566,0.8843146535,0.0015897804
30.0000000000,21.0740695480,24.9220649250,3.8479953770,0.0009950177
32.5000000000,22.2465723290,27.8930209877,5.6464486587,0.0006131147
35.0000000000,23.3060965385,29.4931055759,6.1870090375,0.0003625118
37.5000000000,24.4122754379,30.6016156850,6.1893402471,0.0002109123
40.0000000000,25.3423543687,31.3108540238,5.9684996551,0.0001163149
42.5000000000,26.1463259621,31.7534369401,5.6071109781,0.0000636114
45.0000000000,26.9664911285,31.8895715207,4.9230803922,0.0000349284
47.5000000000,27.7478399753,31.9696376595,4.2217976842,0.0000192685
50.0000000000,28.4987836966,31.9867194112,3.4879357146,0.0000106659
