snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.7553879094,0.0043196437,-0.7510682658,0.0000000000
-7.5000000000,1.2789678187,0.0065603562,-1.2724074625,0.0000000000
-5.0000000000,2.1079471745,0.0043008676,-2.1036463069,0.0000000000
-2.5000000000,3.3480846707,0.0051920137,-3.3428926570,0.0000000000
0.0000000000,5.0854382723,0.0165630540,-5.0688752184,0.0000000000
2.5000000000,7.3693671586,0.2210196944,-7.1483474642,0.0000000000
5.0000000000,10.2203380848,1.1305495162,-9.0897885686,0.0000000000
7.5000000000,13.6438817078,3.3004784397,-10.3434032681,0.0000000000
10.0000000000,17.5666030652,7.0693009362,-10.4973021290,0.0000000000
12.5000000000,21.8146696095,12.4383705427,-9.3762990668,0.0000000000
15.0000000000,26.1187432984,18.9643335638,-7.1544097346,0.0000000000
17.5000000000,30.1419466950,25.9647788841,-4.1771678109,0.0000000000
20.0000000000,33.6443245374,32.8545822773,-0.7897422601,0.0000000000
22.5000000000,36.5617665911,38.9084963724,2.3467297813,0.0000000000
25.0000000000,39.0012485747,43.4085389426,4.4072903679,0.0000000000
27.5000000000,41.0343565520,46.1869234302,5.1525668782,0.0000000000
30.0000000000,42.7387126111,47.5243371408,4.7856245297,0.0000000000
32.5000000000,44.1792732836,47.9330146732,3.7537413896,0.0000000000
35.0000000000,45.3175503374,47.9971396352,2.6795892978,0.0000000000
37.5000000000,46.1314433547,47.9999996657,1.8685563109,0.0000000000
40.0000000000,46.7156675020,48.0000000000,1.2843324980,0.0000000000
42.5000000000,47.1663706582,48.0000000000,0.8336293418,0.0000000000
45.0000000000,47.4794563707,48.0000000000,0.5205436293,0.0000000000
47.5000000000,47.6826346508,48.0000000000,0.3173653492,0.0000000000
50.0000000000,47.8287000351,48.0000000000,0.1712999649,0.0000000000
