snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.9280238455,0.0023203077,-0.9257035379,0.0000000000
-7.5000000000,1.5327667888,0.0017409135,-1.5310258753,0.0000000000
-5.0000000000,2.4441411562,0.0023286692,-2.4418124871,0.0000000000
-2.5000000000,3.7183422517,0.0051291772,-3.7132130745,0.0000000000
0.0000000000,5.3681845738,0.0046378920,-5.3635466818,0.0000000000
2.5000000000,7.3332906524,0.0055346723,-7.3277559801,0.0000000000
5.0000000000,9.4892457284,0.0187587977,-9.4704869307,0.0000000000
7.5000000000,11.6039664812,0.1427360747,-11.4612304065,0.0000000000
10.0000000000,13.4117519492,0.7161972434,-12.6955547058,0.0000000000
12.5000000000,14.9043141796,2.3868825244,-12.5174316552,0.0000000000
15.0000000000,16.1554122795,5.8075777777,-10.3478345019,0.0000000000
17.5000000000,17.2531636710,11.0174041360,-6.2357595349,0.0000000000
20.0000000000,18.3705129675,17.1814206296,-1.1890923379,0.0000000000
22.5000000000,19.6044112172,23.1273233867,3.5229121695,0.0000000000
25.0000000000,20.9996632421,27.8020412235,6.8023779814,0.0000000000
27.5000000000,22.5424201469,30.6070148701,8.0645947232,0.0000000000
30.0000000000,24.1415213463,31.7405493039,7.5990279576,0.0000000000
32.5000000000,25.6830112155,31.9832687910,6.3002575754,0.0000000000
35.0000000000,27.0642975272,31.9999731212,4.9356755939,0.0000000000
37.5000000000,28.2130734560,32.0000000000,3.7869265440,0.0000000000
40.0000000000,29.1355646104,32.0000000000,2.8644353896,0.0000000000
42.5000000000,29.8853465936,32.0000000000,2.1146534064,0.0000000000
45.0000000000,30.5088586384,32.0000000000,1.4911413616,0.0000000000
47.5000000000,31.0229685729,32.0000000000,0.9770314271,0.0000000000
50.0000000000,31.4057679633,32.0000000000,0.5942320367,0.0000000000
