snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,1.0399397942,0.0011010850,-1.0388387091,0.0000000000
-7.5000000000,1.6803477891,0.0022546451,-1.6780931440,0.0000000000
-5.0000000000,2.6045727161,0.0027806985,-2.6017920176,0.0000000000
-2.5000000000,3.8407961524,0.0051801256,-3.8356160268,0.0000000000
0.0000000000,5.3773734919,0.0034048551,-5.3739686368,0.0000000000
2.5000000000,7.1573349215,0.0063943917,-7.1509405298,0.0000000000
5.0000000000,9.0514761505,0.0045663860,-9.0469097645,0.0000000000
7.5000000000,10.8568215203,0.0081174552,-10.8487040651,0.0000000000
10.0000000000,12.4520596983,0.1312198932,-12.3208398050,0.0000000000
12.5000000000,13.9089612194,0.8692740589,-13.0396871605,0.0000000000
15.0000000000,15.2451047205,3.2124734041,-12.0326313164,0.0000000000
17.5000000000,16.4668423247,7.7770638486,-8.6897784761,0.0000000000
20.0000000000,17.6209942210,13.9629604394,-3.6580337816,0.0000000000
22.5000000000,18.7723929729,20.5122002448,1.7398072719,0.0000000000
25.0000000000,19.9818759641,26.2207703902,6.2388944262,0.0000000000
27.5000000000,21.2887502092,30.0715674844,8.7828172752,0.0000000000
30.0000000000,22.7128209122,31.6740505761,8.9612296639,0.0000000000
32.5000000000,24.1708104402,31.9828385033,7.8120280631,0.0000000000
35.0000000000,25.5522087926,31.9999974092,6.4477886166,0.0000000000
37.5000000000,26.8351887892,32.0000000000,5.1648112108,0.0000000000
40.0000000000,28.0601633381,32.0000000000,3.9398366619,0.0000000000
42.5000000000,29.1955187381,32.0000000000,2.8044812619,0.0000000000
45.0000000000,30.1723239680,32.0000000000,1.8276760320,0.0000000000
47.5000000000,30.9279093910,32.0000000000,1.0720906090,0.0000000000
50.0000000000,31.4230406598,32.0000000000,0.5769593402,0.0000000000
