snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.0683140160,0.0000155365,-0.0682984795,0.0000000000
-7.5000000000,0.1126423375,0.0000225150,-0.1126198225,0.0000000000
-5.0000000000,0.1887428270,0.0000459184,-0.1886969086,0.0000000000
-2.5000000000,0.3185851544,0.0000785586,-0.3185065958,0.0000000000
0.0000000000,0.5342119852,0.0000794987,-0.5341324865,0.0000000000
2.5000000000,0.8780362843,0.0002277286,-0.8778085558,0.0000000000
5.0000000000,1.3987319401,0.0004596453,-1.3982722948,0.0000000000
7.5000000000,2.1371065187,0.0008935018,-2.1362130169,0.0000000000
10.0000000000,3.1171681931,0.0011089618,-3.1160592314,0.0000000000
12.5000000000,4.3328143385,0.0022413517,-4.3305729868,0.0000000000
15.0000000000,5.7446527271,0.0017514756,-5.7429012514,0.0000000000
17.5000000000,7.2564860635,0.0030590555,-7.2534270080,0.0000000000
20.0000000000,8.7541112465,0.0052571451,-8.7488541014,0.0000000000
22.5000000000,10.1885131694,0.0056258289,-10.1828873406,0.0000000000
25.0000000000,11.5590092096,0.0038601417,-11.5551490679,0.0000000000
27.5000000000,12.8482953607,0.0337284093,-12.8145669513,0.0000000000
30.0000000000,14.0085093563,0.3440804322,-13.6644289241,0.0000000000
32.5000000000,15.0085013046,1.4514589338,-13.5570423707,0.0000000000
35.0000000000,15.8791828919,3.7976480422,-12.0815348498,0.0000000000
37.5000000000,16.7171145127,7.5565658120,-9.1605487007,0.0000000000
40.0000000000,17.5426657801,12.5914199657,-4.9512458145,0.0000000000
42.5000000000,18.3893496157,18.2465085425,-0.1428410732,0.0000000000
45.0000000000,19.3399821038,23.4667723996,4.1267902958,0.0000000000
47.5000000000,20.3950557582,27.5061113825,7.1110556243,0.0000000000
50.0000000000,21.5004089488,30.1311028318,8.6306938829,0.0000000000
