snr_db,svd,gmd_thp,gain_gmd_thp_vs_svd,svd_leakage
-10.0000000000,0.7122140491,0.0011918519,-0.7110221972,0.0000000000
-7.5000000000,1.1610715444,0.0012934464,-1.1597780980,0.0000000000
-5.0000000000,1.8123455999,0.0008392252,-1.8115063747,0.0000000000
-2.5000000000,2.7008685308,0.0044434357,-2.6964250951,0.0000000000
0.0000000000,3.8698187774,0.0065578743,-3.8632609031,0.0000000000
2.5000000000,5.3483844238,0.0039915984,-5.3443928254,0.0000000000
5.0000000000,7.1414045094,0.0150714201,-7.1263330894,0.0000000000
7.5000000000,9.2308555550,0.0618299528,-9.1690256022,0.0000000000
10.0000000000,11.5652456223,0.2382049211,-11.3270407011,0.0000000000
12.5000000000,13.9992380974,0.7097608302,-13.2894772672,0.0000000000
15.0000000000,16.4241034969,1.7197400627,-14.7043634342,0.0000000000
17.5000000000,18.8438684182,3.6104525546,-15.2334158636,0.0000000000
20.0000000000,21.2585589987,6.7035277404,-14.5550312583,0.0000000000
22.5000000000,23.6494335868,11.0446899768,-12.6047436100,0.0000000000
25.0000000000,25.9304464211,16.4509263431,-9.4795200780,0.0000000000
27.5000000000,28.0055111639,22.5297106986,-5.4758004653,0.0000000000
30.0000000000,29.8583004643,28.7000311361,-1.1582693282,0.0000000000
32.5000000000,31.5477742425,34.4619321571,2.9141579146,0.0000000000
35.0000000000,33.1362821507,39.4135012840,6.2772191334,0.0000000000
37.5000000000,34.6928085229,43.0938650328,8.4010565099,0.0000000000
40.0000000000,36.2350697281,45.4187555476,9.1836858195,0.0000000000
42.5000000000,37.7118502673,46.8118892667,9.1000389994,0.0000000000
45.0000000000,39.0741199165,47.5806749766,8.5065550601,0.0000000000
47.5000000000,40.2992408126,47.8986644021,7.5994235894,0.0000000000
50.0000000000,41.4464056590,47.9833627930,6.5369571340,0.0000000000
