snr_db,avg_svd,avg_gmd,avg_baseline,avg_ao,gain_ao_vs_svd,gain_ao_vs_gmd,gain_ao_vs_baseline,avg_svd_leakage,avg_gmd_leakage,avg_baseline_leakage,avg_ao_leakage
-10.0000000000,0.3669942653,0.1407243771,0.4279078417,0.6824883548,0.3154940895,0.5417639777,0.2545805132,0.7029519871,0.7040856564,0.7042903913,1.2606151878
-7.5000000000,0.6613719180,0.2140466826,0.7628904044,1.1033151454,0.4419432274,0.8892684628,0.3404247410,0.5361466450,0.5341848448,0.5131474531,0.7221808947
-5.0000000000,1.2196480623,0.3006976229,1.3826163590,1.8481048875,0.6284568252,1.5474072646,0.4654885285,0.3850010279,0.3827633136,0.3514609281,0.3273925322
-2.5000000000,2.0465244775,0.3329316318,2.2535315519,2.9726251880,0.9261007105,2.6396935562,0.7190936361,0.2983558376,0.2976233249,0.2681761659,0.2313841486
0.0000000000,3.4113225534,0.3949478310,3.6174014035,4.6485120926,1.2371895392,4.2535642616,1.0311106892,0.2129838609,0.2129326121,0.1920879433,0.1541694859
2.5000000000,5.1989033326,0.4613336690,5.3377378175,6.6919790386,1.4930757060,6.2306453696,1.3542412211,0.1517453353,0.1514284606,0.1369173719,0.1083264348
5.0000000000,7.6855200389,0.5895881530,7.8732518949,9.5138152042,1.8282951653,8.9242270512,1.6405633093,0.0923364933,0.0924161976,0.0858522926,0.0719962901
7.5000000000,10.9101986013,1.0277124900,11.2081212964,12.9570425638,2.0468439625,11.9293300738,1.7489212674,0.0582081719,0.0582447248,0.0549842462,0.0461487206
10.0000000000,14.6787892300,1.2326567124,14.9667785097,17.2312723213,2.5524830913,15.9986156089,2.2644938116,0.0365620128,0.0365750683,0.0360101333,0.0310297331
12.5000000000,18.6850877668,1.5219934449,19.2405969400,21.7260662361,3.0409784694,20.2040727913,2.4854692962,0.0229727871,0.0229474143,0.0233298233,0.0202232348
15.0000000000,22.9561778748,1.6131374212,23.7766014850,26.3680635548,3.4118856800,24.7549261336,2.5914620698,0.0141397704,0.0141286171,0.0147446811,0.0138980216
17.5000000000,27.2257977010,2.0870362808,28.2674247403,31.5056318737,4.2798341728,29.4185955929,3.2382071334,0.0086337400,0.0086361889,0.0090385614,0.0095454924
20.0000000000,30.9959221612,2.5898721872,32.5347000072,36.3518088457,5.3558866845,33.7619366586,3.8171088385,0.0052533598,0.0052598759,0.0055475518,0.0066099883
22.5000000000,34.2558033523,6.9706607330,36.2240796000,40.3473477218,6.0915443695,33.3766869888,4.1232681219,0.0032026975,0.0032080010,0.0033445434,0.0042770559
25.0000000000,36.8621177944,14.3847449242,38.8947067330,43.5533681964,6.6912504020,29.1686232722,4.6586614634,0.0019479365,0.0019512535,0.0020150055,0.0025853341
27.5000000000,39.0873195276,25.3378002960,41.1088254533,46.2927162115,7.2053966839,20.9549159156,5.1838907582,0.0011700090,0.0011722175,0.0012079391,0.0014551488
30.0000000000,40.9943171766,29.9531795421,43.0565905441,47.3735480481,6.3792308714,17.4203685059,4.3169575040,0.0006870956,0.0006884523,0.0007038974,0.0009433262
32.5000000000,42.5864247059,37.6852184085,44.5039319807,47.9805159023,5.3940911963,10.2952974938,3.4765839215,0.0003959530,0.0003967297,0.0004051674,0.0006212140
35.0000000000,43.9687669414,45.3907665019,45.5003335474,47.9941158166,4.0253488751,2.6033493147,2.4937822691,0.0002250397,0.0002254823,0.0002285057,0.0003503588
37.5000000000,45.1061477965,47.9851148855,46.2873104053,47.9989150028,2.8927672064,0.0138001173,1.7116045975,0.0001267823,0.0001270482,0.0001283646,0.0001588400
40.0000000000,45.9421675497,48.0000000000,46.9021931230,47.9950905282,2.0529229785,-0.0049094718,1.0928974052,0.0000710290,0.0000712125,0.0000717327,0.0000842587
42.5000000000,46.6286846474,48.0000000000,47.4216833423,47.9999710793,1.3712864320,-0.0000289207,0.5782877371,0.0000396695,0.0000398079,0.0000400376,0.0000430417
45.0000000000,47.1638659314,48.0000000000,47.7191679954,47.9999661956,0.8361002642,-0.0000338044,0.2807982002,0.0000222483,0.0000223271,0.0000223989,0.0000238748
47.5000000000,47.5321522557,48.0000000000,47.8743933269,47.9992959464,0.4671436907,-0.0007040536,0.1249026194,0.0000124881,0.0000125308,0.0000125209,0.0000129542
50.0000000000,47.7604890555,48.0000000000,47.9672114236,47.9999999991,0.2395109437,-0.0000000009,0.0327885755,0.0000070098,0.0000070332,0.0000070409,0.0000072551
