snr_db,avg_svd,avg_gmd,avg_gmd_thp,avg_baseline,avg_ao,gain_gmd_thp_vs_gmd,gain_ao_vs_svd,gain_ao_vs_gmd,gain_ao_vs_baseline,avg_svd_leakage,avg_gmd_leakage,avg_baseline_leakage,avg_ao_leakage
-10.0000000000,0.7553879094,0.2189414584,0.0046595498,0.7553879094,1.3302531189,-0.2142819086,0.5748652095,1.1113116606,0.5748652095,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-7.5000000000,1.2789678187,0.3245035132,0.0069522330,1.2789678187,2.0597007052,-0.3175512802,0.7807328866,1.7351971920,0.7807328866,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-5.0000000000,2.1079471745,0.4341091360,0.0045117085,2.1079471745,3.0959655656,-0.4295974275,0.9880183911,2.6618564296,0.9880183911,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-2.5000000000,3.3480846707,0.4806508256,0.0046258288,3.3480846707,4.5452038519,-0.4760249968,1.1971191811,4.0645530263,1.1971191811,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,5.0854382723,0.4653486443,0.0169929066,5.0854382723,6.4677187637,-0.4483557376,1.3822804914,6.0023701194,1.3822804914,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.5000000000,7.3693671586,0.4728849943,0.2190377016,7.3693671586,9.0086922528,-0.2538472927,1.6393250942,8.5358072585,1.6393250942,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5.0000000000,10.2203380848,0.5958203475,1.1258528007,10.2203380848,12.1857802426,0.5300324531,1.9654421578,11.5899598950,1.9654421578,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7.5000000000,13.6438817078,0.9758923506,3.2941240549,13.6438817078,15.9706343082,2.3182317043,2.3267526005,14.9947419576,2.3267526005,0.0000000000,0.0000000000,0.0000000000,0.0000000000
10.0000000000,17.5666030652,1.7736347865,7.0612594603,17.5666030652,20.2616604762,5.2876246739,2.6950574110,18.4880256898,2.6950574110,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12.5000000000,21.8146696095,2.9234523356,12.4348036331,21.8146696095,25.0317273288,9.5113512975,3.2170577193,22.1082749932,3.2170577193,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15.0000000000,26.1187432984,4.2554917287,18.9654522703,26.1187432984,30.1973023146,14.7099605416,4.0785590162,25.9418105859,4.0785590162,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17.5000000000,30.1419466950,5.5919959382,25.9702977621,30.2129682285,35.4522801662,20.3783018239,5.3103334712,29.8602842280,5.2393119378,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20.0000000000,33.6443245374,9.7739139943,32.8629900054,34.8526992486,40.3095418604,23.0890760111,6.6652173230,30.5356278661,5.4568426118,0.0000000000,0.0000000000,0.0000000000,0.0000000000
22.5000000000,36.5617665911,16.7052857498,38.9205958533,39.4995444574,44.4816157740,22.2153101035,7.9198491829,27.7763300242,4.9820713166,0.0000000000,0.0000000000,0.0000000000,0.0000000000
25.0000000000,39.0012485747,25.0061086331,43.4206553902,43.4206553902,46.9986582288,18.4145467571,7.9974096541,21.9925495957,3.5780028386,0.0000000000,0.0000000000,0.0000000000,0.0000000000
27.5000000000,41.0343565520,32.3783470252,46.1966835058,46.1966835058,47.8342860571,13.8183364806,6.7999295051,15.4559390320,1.6376025514,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30.0000000000,42.7387126111,39.7779123231,47.5314888973,47.5314888973,47.9917041489,7.7535765741,5.2529915378,8.2137918258,0.4602152516,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32.5000000000,44.1792732836,45.0858530142,47.9349428178,47.9349428178,47.9999566106,2.8490898036,3.8206833270,2.9141035964,0.0650137928,0.0000000000,0.0000000000,0.0000000000,0.0000000000
35.0000000000,45.3175503374,47.9914937772,47.9970795665,47.9970795665,47.9999997740,0.0055857893,2.6824494367,0.0085059968,0.0029202075,0.0000000000,0.0000000000,0.0000000000,0.0000000000
37.5000000000,46.1314433547,47.9999995402,47.9999995166,47.9999995166,47.9999997326,-0.0000000237,1.8685563779,0.0000001924,0.0000002161,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40.0000000000,46.7156675020,48.0000000000,48.0000000000,48.0000000000,47.9999999862,0.0000000000,1.2843324843,-0.0000000138,-0.0000000138,0.0000000000,0.0000000000,0.0000000000,0.0000000000
42.5000000000,47.1663706582,48.0000000000,48.0000000000,48.0000000000,47.9999999960,0.0000000000,0.8336293378,-0.0000000040,-0.0000000040,0.0000000000,0.0000000000,0.0000000000,0.0000000000
45.0000000000,47.4794563707,48.0000000000,48.0000000000,48.0000000000,48.0000000000,0.0000000000,0.5205436293,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
47.5000000000,47.6826346508,48.0000000000,48.0000000000,48.0000000000,47.9999999846,0.0000000000,0.3173653339,-0.0000000154,-0.0000000154,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50.0000000000,47.8287000351,48.0000000000,48.0000000000,48.0000000000,48.0000000000,0.0000000000,0.1712999649,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
