snr_db,avg_svd,avg_gmd,avg_baseline,avg_ao,gain_ao_vs_svd,gain_ao_vs_gmd,gain_ao_vs_baseline,avg_svd_leakage,avg_gmd_leakage,avg_baseline_leakage,avg_ao_leakage
-10.0000000000,0.7553879094,0.2189414584,0.8716446844,1.3336628168,0.5782749074,1.1147213585,0.4620181325,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-7.5000000000,1.2789678187,0.3245035132,1.4429590405,2.0594434382,0.7804756195,1.7349399250,0.6164843977,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-5.0000000000,2.1079471745,0.4341091360,2.3170112986,3.0974704818,0.9895233073,2.6633613458,0.7804591832,0.0000000000,0.0000000000,0.0000000000,0.0000000000
-2.5000000000,3.3480846707,0.4806508256,3.5872056259,4.5410679836,1.1929833129,4.0604171580,0.9538623577,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0000000000,5.0854382723,0.4653486443,5.3375121826,6.4665617851,1.3811235128,6.0012131409,1.1290496025,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.5000000000,7.3693671586,0.4728849943,7.6265634841,9.0195193804,1.6501522218,8.5466343861,1.3929558963,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5.0000000000,10.2203380848,0.5958203475,10.4975278457,12.1746043267,1.9542662419,11.5787839791,1.6770764809,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7.5000000000,13.6438817078,0.9758923506,13.9759573673,15.9570599118,2.3131782041,14.9811675612,1.9811025445,0.0000000000,0.0000000000,0.0000000000,0.0000000000
10.0000000000,17.5666030652,1.7736347865,18.0212222880,20.2721395453,2.7055364801,18.4985047589,2.2509172573,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12.5000000000,21.8146696095,2.9234523356,22.4586997538,25.0479968506,3.2333272412,22.1245445150,2.5892970969,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15.0000000000,26.1187432984,4.2554917287,27.0747095518,30.1771656423,4.0584223439,25.9216739136,3.1024560905,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17.5000000000,30.1419466950,5.5919959382,31.5337025366,35.4713642386,5.3294175436,29.8793683004,3.9376617020,0.0000000000,0.0000000000,0.0000000000,0.0000000000
20.0000000000,33.6443245374,9.7739139943,35.3936055292,40.2988851614,6.6545606240,30.5249711671,4.9052796322,0.0000000000,0.0000000000,0.0000000000,0.0000000000
22.5000000000,36.5617665911,16.7052857498,38.5165334762,44.5081218371,7.9463552459,27.8028360873,5.9915883609,0.0000000000,0.0000000000,0.0000000000,0.0000000000
25.0000000000,39.0012485747,25.0061086331,41.0139827606,47.0042812300,8.0030326554,21.9981725969,5.9902984695,0.0000000000,0.0000000000,0.0000000000,0.0000000000
27.5000000000,41.0343565520,32.3783470252,43.0235037534,47.8584879211,6.8241313691,15.4801408959,4.8349841677,0.0000000000,0.0000000000,0.0000000000,0.0000000000
30.0000000000,42.7387126111,39.7779123231,44.6156693814,47.9928426641,5.2541300530,8.2149303410,3.3771732827,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32.5000000000,44.1792732836,45.0858530142,45.7280023425,47.9999648511,3.8206915675,2.9141118369,2.2719625086,0.0000000000,0.0000000000,0.0000000000,0.0000000000
35.0000000000,45.3175503374,47.9914937772,46.4667335779,47.9999992721,2.6824489347,0.0085054948,1.5332656942,0.0000000000,0.0000000000,0.0000000000,0.0000000000
37.5000000000,46.1314433547,47.9999995402,47.0139022498,47.9999992015,1.8685558468,-0.0000003387,0.9860969517,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40.0000000000,46.7156675020,48.0000000000,47.3981155651,47.9999999018,1.2843323998,-0.0000000982,0.6018843367,0.0000000000,0.0000000000,0.0000000000,0.0000000000
42.5000000000,47.1663706582,48.0000000000,47.6386494382,47.9999999499,0.8336292917,-0.0000000501,0.3613505117,0.0000000000,0.0000000000,0.0000000000,0.0000000000
45.0000000000,47.4794563707,48.0000000000,47.7986082100,47.9999999985,0.5205436277,-0.0000000015,0.2013917885,0.0000000000,0.0000000000,0.0000000000,0.0000000000
47.5000000000,47.6826346508,48.0000000000,47.9146960904,47.9999999749,0.3173653241,-0.0000000251,0.0853038845,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50.0000000000,47.8287000351,48.0000000000,47.9789450233,48.0000000000,0.1712999649,-0.0000000000,0.0210549767,0.0000000000,0.0000000000,0.0000000000,0.0000000000
