snr_db,avg_svd,avg_gmd,avg_gmd_thp,avg_baseline,avg_ao,gain_gmd_thp_vs_gmd,gain_ao_vs_svd,gain_ao_vs_gmd,gain_ao_vs_baseline,avg_svd_leakage,avg_gmd_leakage,avg_baseline_leakage,avg_ao_leakage,avg_gaussian_limit,gap_gaussian_vs_svd,gap_gaussian_vs_gmd,gap_gaussian_vs_gmd_thp,gap_gaussian_vs_baseline,gap_gaussian_vs_ao
-10.0000000000,0.3270624803,0.1252131012,0.0033013100,0.3907777026,0.6530967794,-0.1219117912,0.3260342991,0.5278836782,0.2623190768,0.8093025039,0.8120795292,0.8253732862,1.4143598710,1.8673434217,1.5402809414,1.7421303205,1.8640421117,1.4765657191,1.2142466423
-5.0000000000,1.1777599029,0.2618483556,0.0064813183,1.3066985713,1.8487724000,-0.2553670373,0.6710124971,1.5869240443,0.5420738286,0.4282599219,0.4316931909,0.4153067485,0.3334286839,4.5496006022,3.3718406993,4.2877522466,4.5431192839,3.2429020309,2.7008282022
0.0000000000,3.3838063756,0.5946949599,0.0170907290,3.6359424529,4.4092930452,-0.5776042309,1.0254866696,3.8145980853,0.7733505923,0.1960002643,0.1968189988,0.1826370722,0.1636345955,9.5102832265,6.1264768509,8.9155882666,9.4931924975,5.8743407736,5.1009901813
5.0000000000,7.8438253470,0.6761250579,0.6864403652,8.0831978828,9.5967407806,0.0103153073,1.7529154336,8.9206157227,1.5135428978,0.0882691624,0.0885109663,0.0796548309,0.0692442191,17.1391159726,9.2952906256,16.4629909147,16.4526756074,9.0559180898,7.5423751920
10.0000000000,15.1143921941,1.0800215569,5.1189378493,15.4098353249,17.2203971278,4.0389162924,2.1060049337,16.1403755708,1.8105618028,0.0336685455,0.0338710678,0.0333845779,0.0299171634,27.1563799085,12.0419877144,26.0763583516,22.0374420592,11.7465445836,9.9359827807
15.0000000000,23.6752843474,2.3991766613,15.6017248128,24.0757230233,26.6434467635,13.2025481515,2.9681624162,24.2442701022,2.5677237402,0.0129390610,0.0129813574,0.0140065634,0.0139427833,38.8471983187,15.1719139713,36.4480216574,23.2454735059,14.7714752954,12.2037515552
20.0000000000,31.3937572904,3.5870634029,28.4608500929,32.9735755676,36.7245826458,24.8737866900,5.3308253554,33.1375192429,3.7510070781,0.0048221953,0.0048304844,0.0053790954,0.0064684422,51.4789597664,20.0852024760,47.8918963635,23.0181096735,18.5053841988,14.7543771206
25.0000000000,37.1943178844,16.6423566412,40.1871601265,39.2860661795,43.8428595143,23.5448034853,6.6485416299,27.2005028731,4.5567933348,0.0017303190,0.0017352635,0.0018669951,0.0025325972,64.5322646126,27.3379467282,47.8899079714,24.3451044861,25.2461984331,20.6894050983
30.0000000000,41.4393616664,30.8722770888,46.5735124209,43.4579866608,47.7534859906,15.7012353321,6.3141243242,16.8812089018,4.2954993297,0.0005974117,0.0005996807,0.0006324310,0.0009251072,77.7423372011,36.3029755347,46.8700601123,31.1688247802,34.2843505403,29.9888512105
35.0000000000,44.5501866366,47.4947104380,47.9632751133,45.8578674446,47.9836960543,0.4685646753,3.4335094177,0.4889856163,2.1258286096,0.0001991617,0.0001999877,0.0002083163,0.0003473647,91.0051098865,46.4549232499,43.5103994485,43.0418347732,45.1472424419,43.0214138322
40.0000000000,46.2508305944,47.9999999996,47.9999999999,47.0741505311,47.9982047663,0.0000000003,1.7473741719,-0.0017952334,0.9240542352,0.0000641342,0.0000643984,0.0000655758,0.0000828062,104.2848955470,58.0340649526,56.2848955474,56.2848955471,57.2107450159,56.2866907807
45.0000000000,47.2623378050,48.0000000000,48.0000000000,47.6847005865,47.9999871231,0.0000000000,0.7376493182,-0.0000128769,0.3152865367,0.0000203807,0.0000204626,0.0000207326,0.0000225243,117.5700972250,70.3077594200,69.5700972250,69.5700972250,69.8853966385,69.5701101019
50.0000000000,47.7429314922,48.0000000000,48.0000000000,47.9496497950,47.9999999931,0.0000000000,0.2570685009,-0.0000000069,0.0503501980,0.0000064528,0.0000064781,0.0000065527,0.0000067372,130.8570152443,83.1140837521,82.8570152443,82.8570152443,82.9073654493,82.8570152512
