snr_db,avg_svd,avg_gmd,gain_gmd_vs_svd,avg_svd_leakage,avg_gmd_leakage
-10.0,0.9680087675160856,0.1375592387900113,-0.8304495287260742,0.0,0.0
-7.5,1.5935024736020011,0.17453376915409535,-1.4189687044479058,0.0,0.0
-5.0,2.5327044839645385,0.15310003230225533,-2.379604451662283,0.0,0.0
-2.5,3.8422359130141235,0.11022131622430109,-3.7320145967898224,0.0,0.0
0.0,5.562017977562872,0.07463092656628234,-5.48738705099659,0.0,0.0
2.5,7.705058631270754,0.0,-7.705058631270754,0.0,0.0
5.0,10.239946309604289,0.0,-10.239946309604289,0.0,0.0
7.5,13.146827717536812,0.0,-13.146827717536812,0.0,0.0
10.0,16.318657595107737,0.0,-16.318657595107737,0.0,0.0
12.5,19.5788976236176,0.0,-19.5788976236176,0.0,0.0
15.0,22.609053140443592,0.0,-22.609053140443592,0.0,0.0
17.5,25.25017666692027,0.0,-25.25017666692027,0.0,0.0
20.0,27.722130338937234,0.0,-27.722130338937234,0.0,0.0
22.5,30.16448974529677,0.24601018315862255,-29.918479562138145,0.0,0.0
25.0,32.584638730466885,7.347146927745432,-25.237491802721454,0.0,0.0
27.5,35.02383503265526,14.992545354739743,-20.03128967791552,0.0,0.0
30.0,37.54565905722823,20.45415171233638,-17.09150734489185,0.0,0.0
32.5,40.08682627570169,39.02123934715669,-1.0655869285450024,0.0,0.0
35.0,42.529481364759796,47.999794310748236,5.470312945988439,0.0,0.0
37.5,44.686096394317396,47.99999999980844,3.313903605491042,0.0,0.0
40.0,46.17298113366562,48.0,1.8270188663343774,0.0,0.0
42.5,47.085316294651534,48.0,0.914683705348466,0.0,0.0
45.0,47.67018347890659,48.0,0.329816521093413,0.0,0.0
47.5,47.95178058196386,48.0,0.04821941803614038,0.0,0.0
50.0,47.99932533654058,48.0,0.000674663459420799,0.0,0.0
