snr_db,avg_svd,avg_gmd,avg_gmd_thp,avg_baseline,avg_ao,avg_svd_gaussian,avg_gmd_gaussian,avg_gmd_thp_gaussian,avg_baseline_gaussian,avg_ao_gaussian,gain_gmd_thp_vs_gmd,gain_ao_vs_svd,gain_ao_vs_gmd,gain_ao_vs_baseline,gap_svd_gaussian_vs_svd,gap_gmd_gaussian_vs_gmd,gap_gmd_thp_gaussian_vs_gmd_thp,gap_baseline_gaussian_vs_baseline,gap_ao_gaussian_vs_ao,avg_svd_leakage,avg_gmd_leakage,avg_baseline_leakage,avg_ao_leakage
0.0000000000,3.3838063756,0.5983739686,0.0183130954,3.6800700374,4.4585792867,4.6298001057,2.4120373083,2.4120373083,4.9965875508,5.8547288340,-0.5800608732,1.0747729111,3.8602053181,0.7785092493,1.2459937301,1.8136633397,2.3937242129,1.3165175134,1.3961495473,0.1960002643,0.1960002643,0.1818657428,0.1627402981
5.0000000000,7.8438253470,0.6820405734,0.6929773160,8.1866761459,9.6575898066,10.5318955043,6.6374783835,6.6374783835,10.9439116602,12.2896324151,0.0109367426,1.8137644596,8.9755492332,1.4709136607,2.6880701573,5.9554378101,5.9445010675,2.7572355142,2.6320426084,0.0882691624,0.0882691624,0.0796093158,0.0690832275
10.0000000000,15.1143921941,1.0966516577,5.1325362867,15.4196995488,17.2414893311,18.9709969736,14.6985992731,14.6985992731,19.5482009531,21.3358832557,4.0358846290,2.1270971370,16.1448376734,1.8217897824,3.8566047795,13.6019476154,9.5660629864,4.1285014043,4.0943939246,0.0336685455,0.0336685455,0.0333199639,0.0299573089
15.0000000000,23.6752843474,2.4265574904,15.5880243459,24.2332331838,26.7581181691,29.0020635111,25.7191939677,25.7191939677,29.8774626258,32.5121482579,13.1614668556,3.0828338218,24.3315606788,2.5248849853,5.3267791638,23.2926364773,10.1311696217,5.6442294419,5.7540300888,0.0129390610,0.0129390610,0.0139922414,0.0138820459
20.0000000000,31.3937572904,3.6750421700,28.4314943046,32.9564005195,36.7835608676,39.9058248593,37.8171384660,37.8171384660,41.1665387893,44.7126684438,24.7564521346,5.3898035772,33.1085186976,3.8271603481,8.5120675689,34.1420962961,9.3856441615,8.2101382697,7.9291075763,0.0048221953,0.0048221953,0.0053685621,0.0064105461
25.0000000000,37.1943178844,16.6077044572,40.1598845306,39.0959164257,44.2285635911,51.8226836459,50.6802593065,50.6802593065,53.1060094966,57.0222583645,23.5521800735,7.0342457067,27.6208591340,5.1326471654,14.6283657615,34.0725548493,10.5203747759,14.0100930709,12.7936947734,0.0017303190,0.0017303190,0.0018004053,0.0025032409
30.0000000000,41.4393616664,30.9271199360,46.5807351961,43.1064690575,47.1520233275,64.3536208559,63.8256958127,63.8256958127,65.1100579028,68.7563625454,15.6536152601,5.7126616611,16.2249033915,4.0455542699,22.9142591896,32.8985758768,17.2449606167,22.0035888452,21.6043392180,0.0005974117,0.0005974117,0.0006110265,0.0007770747
35.0000000000,44.5501866366,47.4415338676,47.9649235880,47.7532926365,47.9015531683,77.3274934089,77.1180240898,77.1180240898,77.3040697554,78.3566773134,0.5233897205,3.3513665317,0.4600193008,0.1482605319,32.7773067723,29.6764902222,29.1531005018,29.5507771189,30.4551241451,0.0001991617,0.0001991617,0.0002048939,0.0002167353
40.0000000000,46.2508305944,47.9999999999,48.0000000000,47.9993984188,47.9993984188,90.4737108421,90.3979901278,90.3979901278,90.3991412226,90.3991412226,0.0000000001,1.7485678244,-0.0006015811,0.0000000000,44.2228802477,42.3979901279,42.3979901279,42.3997428038,42.3997428038,0.0000641342,0.0000641342,0.0000641342,0.0000641342
45.0000000000,47.2623378050,48.0000000000,48.0000000000,48.0000000000,48.0000000000,103.7008492257,103.6754377759,103.6754377759,103.6765910853,103.6765910853,0.0000000000,0.7376621950,0.0000000000,0.0000000000,56.4385114207,55.6754377759,55.6754377759,55.6765910853,55.6765910853,0.0000203807,0.0000203807,0.0000203806,0.0000203806
50.0000000000,47.7429314922,48.0000000000,48.0000000000,48.0000000000,48.0000000000,116.9646956961,116.9564628921,116.9564628921,116.9572874984,116.9572874984,0.0000000000,0.2570685078,-0.0000000000,0.0000000000,69.2217642040,68.9564628921,68.9564628921,68.9572874984,68.9572874984,0.0000064528,0.0000064528,0.0000064527,0.0000064527
