row_index,bits_1,bits_2,bits_3,bits_4,bits_5,bits_6,bits_7,bits_8,mapped_index,real_part,imag_part
0,0,0,0,0,0,0,0,0,0,-1.15044748327106,1.15044748327106
1,0,0,0,0,0,0,0,1,0,-1.15044748327106,0.997054485501582
2,0,0,0,0,0,0,1,0,0,-1.15044748327106,0.690268489962633
3,0,0,0,0,0,0,1,1,0,-1.15044748327106,0.843661487732108
4,0,0,0,0,0,1,0,0,0,-1.15044748327106,0.076696498884737
5,0,0,0,0,0,1,0,1,0,-1.15044748327106,0.230089496654211
6,0,0,0,0,0,1,1,0,0,-1.15044748327106,0.536875492193159
7,0,0,0,0,0,1,1,1,0,-1.15044748327106,0.383482494423685
8,0,0,0,0,1,0,0,0,0,-1.15044748327106,-1.15044748327106
9,0,0,0,0,1,0,0,1,0,-1.15044748327106,-0.997054485501582
10,0,0,0,0,1,0,1,0,0,-1.15044748327106,-0.690268489962633
11,0,0,0,0,1,0,1,1,0,-1.15044748327106,-0.843661487732108
12,0,0,0,0,1,1,0,0,0,-1.15044748327106,-0.076696498884737
13,0,0,0,0,1,1,0,1,0,-1.15044748327106,-0.230089496654211
14,0,0,0,0,1,1,1,0,0,-1.15044748327106,-0.536875492193159
15,0,0,0,0,1,1,1,1,0,-1.15044748327106,-0.383482494423685
16,0,0,0,1,0,0,0,0,0,-0.997054485501582,1.15044748327106
17,0,0,0,1,0,0,0,1,0,-0.997054485501582,0.997054485501582
18,0,0,0,1,0,0,1,0,0,-0.997054485501582,0.690268489962633
19,0,0,0,1,0,0,1,1,0,-0.997054485501582,0.843661487732108
20,0,0,0,1,0,1,0,0,0,-0.997054485501582,0.076696498884737
21,0,0,0,1,0,1,0,1,0,-0.997054485501582,0.230089496654211
22,0,0,0,1,0,1,1,0,0,-0.997054485501582,0.536875492193159
23,0,0,0,1,0,1,1,1,0,-0.997054485501582,0.383482494423685
24,0,0,0,1,1,0,0,0,0,-0.997054485501582,-1.15044748327106
25,0,0,0,1,1,0,0,1,0,-0.997054485501582,-0.997054485501582
26,0,0,0,1,1,0,1,0,0,-0.997054485501582,-0.690268489962633
27,0,0,0,1,1,0,1,1,0,-0.997054485501582,-0.843661487732108
28,0,0,0,1,1,1,0,0,0,-0.997054485501582,-0.076696498884737
29,0,0,0,1,1,1,0,1,0,-0.997054485501582,-0.230089496654211
30,0,0,0,1,1,1,1,0,0,-0.997054485501582,-0.536875492193159
31,0,0,0,1,1,1,1,1,0,-0.997054485501582,-0.383482494423685
32,0,0,1,0,0,0,0,0,0,-0.690268489962633,1.15044748327106
33,0,0,1,0,0,0,0,1,0,-0.690268489962633,0.997054485501582
34,0,0,1,0,0,0,1,0,0,-0.690268489962633,0.690268489962633
35,0,0,1,0,0,0,1,1,0,-0.690268489962633,0.843661487732108
36,0,0,1,0,0,1,0,0,0,-0.690268489962633,0.076696498884737
37,0,0,1,0,0,1,0,1,0,-0.690268489962633,0.230089496654211
38,0,0,1,0,0,1,1,0,0,-0.690268489962633,0.536875492193159
