row_index,bits_1,bits_2,bits_3,bits_4,bits_5,bits_6,mapped_index,real_part,imag_part
0,0,0,0,0,0,0,47,0.77151674981046,-0.462910049886276
1,0,0,0,0,0,1,46,0.77151674981046,-0.154303349962092
2,0,0,0,0,1,0,42,0.77151674981046,0.154303349962092
3,0,0,0,0,1,1,43,0.77151674981046,0.462910049886276
4,0,0,0,1,0,0,59,0.462910049886276,0.462910049886276
5,0,0,0,1,0,1,58,0.462910049886276,0.154303349962092
6,0,0,0,1,1,0,62,0.462910049886276,-0.154303349962092
7,0,0,0,1,1,1,63,0.462910049886276,-0.462910049886276
8,0,0,1,0,0,0,45,0.77151674981046,-0.77151674981046
9,0,0,1,0,0,1,44,0.77151674981046,-1.08012344973464
10,0,0,1,0,1,0,40,0.77151674981046,1.08012344973464
11,0,0,1,0,1,1,41,0.77151674981046,0.77151674981046
12,0,0,1,1,0,0,57,0.462910049886276,0.77151674981046
13,0,0,1,1,0,1,56,0.462910049886276,1.08012344973464
14,0,0,1,1,1,0,60,0.462910049886276,-1.08012344973464
15,0,0,1,1,1,1,61,0.462910049886276,-0.77151674981046
16,0,1,0,0,0,0,37,1.08012344973464,-0.77151674981046
17,0,1,0,0,0,1,36,1.08012344973464,-1.08012344973464
18,0,1,0,0,1,0,32,1.08012344973464,1.08012344973464
19,0,1,0,0,1,1,33,1.08012344973464,0.77151674981046
20,0,1,0,1,0,0,49,0.154303349962092,0.77151674981046
21,0,1,0,1,0,1,48,0.154303349962092,1.08012344973464
22,0,1,0,1,1,0,52,0.154303349962092,-1.08012344973464
23,0,1,0,1,1,1,53,0.154303349962092,-0.77151674981046
24,0,1,1,0,0,0,39,1.08012344973464,-0.462910049886276
25,0,1,1,0,0,1,38,1.08012344973464,-0.154303349962092
26,0,1,1,0,1,0,34,1.08012344973464,0.154303349962092
27,0,1,1,0,1,1,35,1.08012344973464,0.462910049886276
28,0,1,1,1,0,0,51,0.154303349962092,0.462910049886276
29,0,1,1,1,0,1,50,0.154303349962092,0.154303349962092
30,0,1,1,1,1,0,54,0.154303349962092,-0.154303349962092
31,0,1,1,1,1,1,55,0.154303349962092,-0.462910049886276
32,1,0,0,0,0,0,7,-1.08012344973464,-0.462910049886276
33,1,0,0,0,0,1,6,-1.08012344973464,-0.154303349962092
34,1,0,0,0,1,0,2,-1.08012344973464,0.154303349962092
35,1,0,0,0,1,1,3,-1.08012344973464,0.462910049886276
36,1,0,0,1,0,0,19,-0.154303349962092,0.462910049886276
37,1,0,0,1,0,1,18,-0.154303349962092,0.154303349962092
38,1,0,0,1,1,0,22,-0.154303349962092,-0.154303349962092
39,1,0,0,1,1,1,23,-0.154303349962092,-0.462910049886276
40,1,0,1,0,0,0,5,-1.08012344973464,-0.77151674981046
41,1,0,1,0,0,1,4,-1.08012344973464,-1.08012344973464
42,1,0,1,0,1,0,0,-1.08012344973464,1.08012344973464
43,1,0,1,0,1,1,1,-1.08012344973464,0.77151674981046
44,1,0,1,1,0,0,17,-0.154303349962092,0.77151674981046
45,1,0,1,1,0,1,16,-0.154303349962092,1.08012344973464
46,1,0,1,1,1,0,20,-0.154303349962092,-1.08012344973464
47,1,0,1,1,1,1,21,-0.154303349962092,-0.77151674981046
48,1,1,0,0,0,0,13,-0.77151674981046,-0.77151674981046
49,1,1,0,0,0,1,12,-0.77151674981046,-1.08012344973464
50,1,1,0,0,1,0,8,-0.77151674981046,1.08012344973464
51,1,1,0,0,1,1,9,-0.77151674981046,0.77151674981046
52,1,1,0,1,0,0,25,-0.462910049886276,0.77151674981046
53,1,1,0,1,0,1,24,-0.462910049886276,1.08012344973464
54,1,1,0,1,1,0,28,-0.462910049886276,-1.08012344973464
55,1,1,0,1,1,1,29,-0.462910049886276,-0.77151674981046
56,1,1,1,0,0,0,15,-0.77151674981046,-0.462910049886276
57,1,1,1,0,0,1,14,-0.77151674981046,-0.154303349962092
58,1,1,1,0,1,0,10,-0.77151674981046,0.154303349962092
59,1,1,1,0,1,1,11,-0.77151674981046,0.462910049886276
60,1,1,1,1,0,0,27,-0.462910049886276,0.462910049886276
61,1,1,1,1,0,1,26,-0.462910049886276,0.154303349962092
62,1,1,1,1,1,0,30,-0.462910049886276,-0.154303349962092
63,1,1,1,1,1,1,31,-0.462910049886276,-0.462910049886276
